Rank	Site	Category	UniqueVisitors	Reach	PageViews	HasAdvertising	InEnglish	TLD
50	4shared.com	File Sharing & Hosting	60000000	3.2	2500000000	Yes	Yes	com
51	imdb.com	Movie Reference	60000000	3.2	1200000000	Yes	Yes	com
52	myspace.com		60000000	3.2	1500000000	Yes	Yes	com
53	answers.com	General Reference	60000000	3.2	250000000	Yes	Yes	com
54	fc2.com	Web Services	59000000	3.2	3300000000	Yes	Yes	com
55	mywebsearch.com	Search Engines	56000000	3	1200000000	Yes	Yes	com
56	mail.ru	Email & Messaging	55000000	2.9	19000000000	Yes	No	ru
57	7k7k.com	Casual Games	55000000	3	4000000000	Yes	No	com
58	uol.com.br	Web Portals	55000000	3	5400000000	Yes	No	com.br
59	gocsgo.com		55000000	2.9	180000000	No	No	com
60	alibaba.com	Import & Export	54000000	2.9	1100000000	Yes	Yes	com
61	skype.com	Voice & Video Chat	54000000	2.9	490000000	Yes	Yes	com
62	badoo.com	Dating & Personals	51000000	2.7	5900000000	Yes	Yes	com
63	scribd.com	Social Networks	51000000	2.7	160000000	Yes	Yes	com
64	cnn.com	Broadcast & Network News	50000000	2.7	1300000000	Yes	Yes	com
65	soku.com	Online Video	50000000	2.7	780000000	Yes	No	com
66	babylon.com	Translation Tools & Resources	50000000	2.7	790000000	Yes	Yes	com
67	yandex.ru	Search Engines	46000000	2.5	14000000000	Yes	No	com
68	2345.com	Web Portals	45000000	2.4	2100000000	Yes	No	com
69	renren.com	Social Networks	45000000	2.4	3300000000	Yes	No	com
70	megaupload.com	File Sharing & Hosting	45000000	2.4	490000000	Yes	Yes	com
71	alot.com	Web Apps & Online Tools	45000000	2.4	490000000	Yes	Yes	com
72	hp.com	Computer Hardware	45000000	2.4	660000000	Yes	Yes	com
73	rakuten.co.jp	Shopping Portals & Search Engines	45000000	2.4	4000000000	Yes	No	co.jp
74	goo.ne.jp	Web Portals	45000000	2.4	870000000	Yes	No	ne.jp
75	netflix.com	DVD & Video Rentals	45000000	2.4	2500000000	Yes	Yes	com
76	softonic.com	Software	45000000	2.4	370000000	Yes	Yes	com
77	blogger.com	Blogging Resources & Services	42000000	2.2	1100000000	No	Yes	com
78	360.cn	Antivirus & Malware	42000000	2.2	800000000	No	No	cn
79	alipay.com	Merchant Services & Payment Systems	42000000	2.3	2000000000	Yes	No	com
80	globo.com	Web Portals	41000000	2.2	3000000000	Yes	No	com
81	photobucket.com	Photo & Video Sharing	41000000	2.2	600000000	Yes	Yes	com
82	bankofamerica.com	Banking	41000000	2.2	2500000000	Yes	Yes	com
83	discoverbing.com	Search Engines	41000000	2.2	170000000	Yes	Yes	com
84	mediafire.com	File Sharing & Hosting	41000000	2.2	370000000	Yes	Yes	com
85	partypoker.com		41000000	2.2	130000000	Yes	Yes	com
86	camzap.com	Webcams & Virtual Tours	41000000	2.2	140000000	No	No	com
87	ameblo.jp	Blogging Resources & Services	41000000	2.2	1700000000	Yes	No	jp
88	odnoklassniki.ru	Social Networks	38000000	2	14000000000	Yes	No	ru
89	terra.com.br	News	38000000	2	1700000000	Yes	No	com.br
90	naver.com	Search Engines	38000000	2	23000000000	Yes	No	com
91	zynga.com	Casual Games	38000000	2	780000000	Yes	Yes	com
92	amazon.co.jp	Entertainment Media	38000000	2	1300000000	No	No	co.jp
93	vkontakte.ru	Social Networks	38000000	2	92000000000	No	No	ru
94	imageshack.us		38000000	2	210000000	Yes	Yes	us
95	youdao.com	Blogging Resources & Services	38000000	2	280000000	Yes	No	com
96	pconline.com.cn	Local News	38000000	2	450000000	Yes	No	com.cn
97	58.com	Classifieds	37000000	2	960000000	Yes	No	com
98	chase.com	Banking	37000000	2	2500000000	Yes	Yes	com
99	mapquest.com	Maps	37000000	2	210000000	Yes	Yes	com
100	xinhuanet.com	News	37000000	2	870000000	Yes	No	com
101	joy.cn	Online Video	37000000	2	280000000	Yes		
102	metacafe.com	Video Sharing	37000000	2	370000000	Yes		
103	tumblr.com	Online Journals & Personal Sites	37000000	2	1600000000	Yes		
104	cntv.cn	TV Networks & Stations	37000000	2	540000000	Yes		
105	hotmail.com	Email & Messaging	37000000	2	210000000	Yes		
106	walmart.com	Mass Merchants & Department Stores	35000000	1.9	790000000	Yes		
107	livedoor.jp	Web Portals	35000000	1.9	590000000	Yes		
108	tianya.cn	Online Communities	34000000	1.8	440000000	Yes		
109	booking.com	Hotels & Accommodations	34000000	1.8	590000000	No		
110	ebay.de	Auctions	34000000	1.8	6400000000	Yes		
111	zedo.com	Advertising & Marketing	34000000	1.8	150000000	Yes		
112	paipai.com	Apparel	34000000	1.8	720000000	No		
113	miniclip.com	Online Games	34000000	1.8	650000000	Yes		
114	rapidshare.com	File Sharing & Hosting	34000000	1.8	370000000	Yes		
115	daum.net	Web Portals	34000000	1.8	6500000000	Yes		
116	nytimes.com	Newspapers	31000000	1.7	540000000	Yes		
117	zol.com.cn	Computer Hardware	31000000	1.6	590000000	Yes		
118	gougou.com	Search Engines	31000000	1.7	650000000	Yes		
119	megavideo.com	Online Video	31000000	1.7	270000000	Yes		
120	nih.gov	Health	31000000	1.7	330000000	Yes		
121	ebay.co.uk	Auctions	31000000	1.7	5900000000	Yes		
122	wikimedia.org	Dictionaries & Encyclopedias	31000000	1.7	120000000	No		
123	taringa.net	Social Networks	31000000	1.6	530000000	Yes		
124	avg.com	Antivirus & Malware	31000000	1.7	230000000	No		
125	hudong.com	Celebrities & Entertainment News	31000000	1.6	170000000	Yes		
126	96pk.com	Shopping	31000000	1.7	110000000	No		
127	thefreedictionary.com	Dictionaries & Encyclopedias	31000000	1.7	110000000	Yes		
128	seesaa.net	Blogging Resources & Services	31000000	1.7	230000000	Yes		
129	target.com	Mass Merchants & Department Stores	31000000	1.7	540000000	Yes		
130	hi5.com	Social Networks	31000000	1.7	4400000000	Yes		
131	tripadvisor.com	Travel	29000000	1.5	340000000	Yes		
132	mcafee.com	Antivirus & Malware	28000000	1.5	160000000	Yes		
133	reference.com	Dictionaries & Encyclopedias	28000000	1.5	250000000	Yes		
134	dell.com	Computer Hardware	28000000	1.5	410000000	Yes		
135	att.com	Phone Service Providers	28000000	1.5	880000000	Yes		
136	bigpoint.com	Online Games	28000000	1.5	1200000000	Yes		
137	foxsports.com	Sports News	28000000	1.5	660000000	Yes		
138	51wan.com	Fantasy Sports	28000000	1.5	90000000	Yes		
139	10086.cn	Web Apps & Online Tools	28000000	1.5	650000000	Yes		
140	huffingtonpost.com	News	28000000	1.5	490000000	Yes		
141	ganji.com	Shopping Portals & Search Engines	28000000	1.5	960000000	Yes		
142	amazon.de	Entertainment Media	28000000	1.5	1200000000	No		
143	nifty.com	Web Portals	28000000	1.5	800000000	Yes		
144	comcast.net	Web Portals	28000000	1.5	4100000000	Yes		
145	pomoho.com	Online Video	28000000	1.5	190000000	Yes		
146	amazon.co.uk	Shopping Portals & Search Engines	28000000	1.5	1000000000	No		
147	kaixin001.com	Social Networks	28000000	1.5	1400000000	No		
148	imesh.com	Music Streams & Downloads	28000000	1.5	210000000	Yes		
149	wellsfargo.com	Banking	26000000	1.4	1500000000	Yes		
150	free.fr	ISPs	26000000	1.4	870000000	Yes		
151	m18.com	Fashion & Style	26000000	1.4	330000000	No		
152	people.com.cn	News	26000000	1.4	330000000	Yes		
153	ikea.com	Home Furnishings	26000000	1.4	790000000	No		
154	narod.ru	Web Hosting & Domain Registration	26000000	1.4	280000000	Yes		
155	sparkstudios.com	Marketing Services	26000000	1.4	89000000	No		
156	dailymail.co.uk	Newspapers	26000000	1.4	370000000	Yes		
157	brothersoft.com	Freeware & Shareware	26000000	1.4	130000000	Yes		
158	weibo.com	Online Video	26000000	1.4	670000000	Yes		
159	sourceforge.net	Open Source	26000000	1.4	130000000	Yes		
160	slideshare.net	Business Plans & Presentations	26000000	1.4	80000000	Yes		
161	groupon.com	Coupons & Discount Offers	26000000	1.4	190000000	Yes		
162	iegallery.com		26000000	1.4	55000000	No		
163	iminent.com	Clip Art & Animated GIFs	25000000	1.4	1100000000	Yes		
164	kugou.com	Movies	25000000	1.4	110000000	Yes		
165	thepiratebay.org	File Sharing & Hosting	24000000	1.3	640000000	Yes		
166	pptv.com	TV Networks & Stations	24000000	1.3	300000000	Yes		
167	verizonwireless.com	Phone Service Providers	24000000	1.3	730000000	Yes		
168	hatena.ne.jp	Blogging Resources & Services	24000000	1.3	160000000	Yes		
169	americanexpress.com	Credit Cards	24000000	1.3	410000000	Yes		
170	3366.com	Arts & Entertainment	23000000	1.2	890000000	No		
171	9223.com	Directories & Listings	23000000	1.3	870000000	Yes		
172	126.com	Web Portals	23000000	1.2	960000000	Yes		
173	expedia.com	Travel	23000000	1.2	540000000	Yes		
174	wowan365.com	Computer & Video Games	23000000	1.3	54000000	No		
175	wikia.com	Online Communities	23000000	1.3	410000000	Yes		
176	yytou.cn		23000000	1.2	66000000	No		
177	fileserve.com	File Sharing & Hosting	23000000	1.3	210000000	No		
178	peeplo.com	Search Engines	23000000	1.3	88000000	Yes		
179	autohome.com.cn	Vehicle Shopping	23000000	1.2	1700000000	Yes		
180	hotfile.com	File Sharing & Hosting	23000000	1.3	170000000	Yes		
181	tripod.com	Web Design & Development	23000000	1.2	87000000	Yes		
182	netlog.com	Social Networks	23000000	1.2	1300000000	Yes		
183	726.com	Web Portals	23000000	1.3	720000000	Yes		
184	inbox.com	Email & Messaging	23000000	1.2	210000000	Yes		
185	kuwo.cn	Celebrities & Entertainment News	23000000	1.3	270000000	Yes		
186	livejournal.com	Blogging Resources & Services	23000000	1.2	650000000	Yes		
187	cncmax.cn	Web Portals	23000000	1.2	110000000	Yes		
188	comcast.com	Service Providers	22000000	1.2	170000000	Yes		
189	39.net	Health	22000000	1.2	370000000	Yes		
190	baixaki.com.br	Internet & Telecom	21000000	1.1	370000000	Yes		
191	douban.com	Social Networks	21000000	1.1	370000000	Yes		
192	match.com	Dating & Personals	21000000	1.1	1300000000	Yes		
193	soufun.com	Real Estate	21000000	1.2	480000000	Yes		
194	china.com	Web Portals	21000000	1.1	1100000000	Yes		
195	vancl.com	Apparel	21000000	1.1	370000000	No		
196	orange.fr	Web Portals	21000000	1.1	5900000000	Yes		
197	haohaowan.com	Cartoons	21000000	1.1	60000000	Yes		
198	windowslivehelp.com	Email & Messaging	21000000	1.1	120000000	No		
199	maktoob.com	Web Portals	21000000	1.1	410000000	Yes		
200	biglobe.ne.jp	Web Portals	21000000	1.1	540000000	Yes		
201	letv.com	Online Media	21000000	1.1	210000000	Yes		
202	foxnews.com	Broadcast & Network News	21000000	1.1	650000000	Yes		
203	glispa.com	Search Engine Optimization & Marketing	21000000	1.2	42000000	No		
204	vimeo.com		21000000	1.1	120000000	Yes		
205	mozilla.org	Internet Clients & Browsers	21000000	1.1	130000000	No		
206	irs.gov	Accounting & Auditing	21000000	1.1	400000000	No		
207	jiayuan.com	Dating & Personals	21000000	1.1	870000000	Yes		
208	mercadolivre.com.br	Auctions	21000000	1.1	790000000	Yes		
209	yelp.com	Directories & Listings	21000000	1.1	190000000	Yes		
210	geocities.jp	Web Hosting & Domain Registration	21000000	1.1	210000000	Yes		
211	ig.com.br	Web Portals	21000000	1.1	1200000000	Yes		
212	livingsocial.com	Coupons & Discount Offers	21000000	1.1	130000000	Yes		
213	musica.com	Music & Audio	21000000	1.1	310000000	Yes		
214	samsung.com	Consumer Electronics	21000000	1.1	170000000	Yes		
215	y8.com	Flash-Based Entertainment	21000000	1.1	1400000000	Yes		
216	eastmoney.com	Investing	21000000	1.1	940000000	Yes		
217	pandora.com	Radio	21000000	1.2	1500000000	Yes		
218	rambler.ru	Web Portals	20000000	1	2300000000	Yes		
219	depositfiles.com	File Sharing & Hosting	20000000	1	170000000	Yes		
220	360buy.com	E-Commerce Services	20000000	1	440000000	Yes		
221	uuzu.com	Computer & Video Games	19000000	1	50000000	No		
222	indeed.com	Jobs	19000000	1	550000000	Yes		
223	ups.com	Mail & Package Delivery	19000000	1	280000000	Yes		
224	facemoods.com	Social Network Apps & Add-Ons	19000000	1	250000000	Yes		
225	mlb.com	Baseball	19000000	1	450000000	Yes		
226	java.com	Java	19000000	1	97000000	No		
227	xdwan.cn		19000000	1	38000000	Yes		
228	commentcamarche.net	Technology News	19000000	1	170000000	Yes		
229	t-online.de	Web Portals	19000000	1	960000000	Yes		
230	bestbuy.com	Consumer Electronics	19000000	1	370000000	Yes		
231	nate.com	Web Portals	19000000	1	3000000000	Yes		
232	yellowpages.com	Business & Personal Listings	19000000	1	140000000	Yes		
233	6.cn	Online Video	19000000	1	110000000	Yes		
234	reuters.com	News	19000000	1	210000000	Yes		
235	nba.com	Basketball	19000000	1	370000000	Yes		
236	nhk.or.jp	TV Networks & Stations	19000000	1	280000000	No		
237	cocolog-nifty.com	Blogging Resources & Services	19000000	1	150000000	Yes		
238	in.com	Web Portals	19000000	1	190000000	Yes		
239	abril.com.br	Web Portals	19000000	1	280000000	Yes		
240	nextag.com	Shopping	19000000	1	110000000	Yes		
241	kakaku.com	Price Comparisons	19000000	1	720000000	Yes		
242	huanqiu.com	News	19000000	1	550000000	Yes		
243	rincondelvago.com	Education	19000000	1	90000000	Yes		
244	usps.com	Mail & Package Delivery	19000000	1	330000000	No		
245	friv.com	Online Games	19000000	1	340000000	Yes		
246	capitalone.com	Credit Cards	19000000	1	540000000	Yes		
247	weather.com.cn	Weather	19000000	1	120000000	Yes		
248	okwave.jp	Forum & Chat Providers	19000000	1	60000000	Yes		
249	leboncoin.fr	Classifieds	19000000	1	5300000000	Yes		
250	nicovideo.jp	Online Video	19000000	1	2100000000	Yes		
251	norton.com	Network Security	19000000	1	130000000	No		
252	partycasino.com		18000000	0.9	49000000	Yes		
253	yzz.cn	Celebrities & Entertainment News	18000000	0.9	88000000	Yes		
254	marketgid.com	Shopping Portals & Search Engines	18000000	1	210000000	Yes		
255	web.de	Web Portals	18000000	0.9	1300000000	Yes		
256	allrecipes.com	Cooking & Recipes	18000000	1	250000000	Yes		
257	17173.com	Roleplaying Games	18000000	0.9	250000000	Yes		
258	ameba.jp	Blogging Resources & Services	18000000	0.9	1700000000	Yes		
259	foxtab.com	Internet Clients & Browsers	18000000	0.9	73000000	Yes		
260	homedepot.com	Home Improvement	18000000	0.9	340000000	No		
261	groupon.com.br	Coupons & Discount Offers	18000000	1	89000000	Yes		
262	guardian.co.uk	Newspapers	18000000	0.9	160000000	Yes		
263	skycn.com	Software	18000000	0.9	96000000	Yes		
264	avast.com		18000000	0.9	74000000	No		
265	cyworld.com	Celebrities & Entertainment News	18000000	1	1700000000	No		
266	hulu.com	Online Video	18000000	0.9	450000000	Yes		
267	exblog.jp	Blogging Resources & Services	18000000	0.9	190000000	Yes		
268	vk.com	Social Networks	18000000	0.9	1300000000	No		
269	wn.com	World News	18000000	0.9	34000000	Yes		
270	surveymonkey.com	Web Apps & Online Tools	18000000	0.9	170000000	Yes		
271	nk.pl	Social Networks	18000000	0.9	5400000000	Yes		
272	real.com	Media Players	18000000	0.9	55000000	Yes		
273	monografias.com	Web Portals	18000000	0.9	74000000	Yes		
274	clubpenguin.com	Virtual Worlds	17000000	0.9	650000000	No		
275	ocn.ne.jp	Web Portals	17000000	0.9	300000000	Yes		
276	microsofttranslator.com	Translation Tools & Resources	17000000	0.9	81000000	Yes		
277	oyunlar1.com	Online Games	17000000	0.9	960000000	Yes		
278	onet.pl	Web Portals	17000000	0.9	3300000000	Yes		
279	boosj.com	Online Video	17000000	0.9	130000000	Yes		
280	intuit.com	Business Operations	17000000	0.9	410000000	Yes		
281	webmd.com	Medical Literature & Resources	17000000	0.9	160000000	Yes		
282	chinanews.com	Cosmetic Surgery	17000000	0.9	440000000	Yes		
283	twitpic.com	Online Communities	17000000	0.9	160000000	Yes		
284	so-net.ne.jp	Web Portals	17000000	0.9	160000000	Yes		
285	uoyoo.cn		17000000	0.9	51000000	Yes		
286	metrolyrics.com	Music & Audio	17000000	0.9	60000000	Yes		
287	yomiuri.co.jp	Newspapers	17000000	0.9	340000000	Yes		
288	wordreference.com		17000000	0.9	190000000	Yes		
289	telegraph.co.uk	Newspapers	17000000	0.9	210000000	Yes		
290	2ch.net	Forum & Chat Providers	17000000	0.9	650000000	Yes		
291	tagged.com	Online Games	16000000	0.9	4000000000	Yes		
292	wsj.com	Newspapers	16000000	0.8	210000000	Yes		
293	game5.com	Massive Multiplayer	16000000	0.9	37000000	Yes		
294	dangdang.com	Book Retailers	16000000	0.9	370000000	Yes		
295	ucoz.ru	Web Design & Development	16000000	0.9	250000000	Yes		
296	ccb.com.cn	Banking	16000000	0.9	250000000	No		
297	wp.pl		16000000	0.9	2200000000	Yes		
298	m1905.com	TV Networks & Stations	16000000	0.9	210000000	Yes		
299	1ting.com	Music & Audio	16000000	0.8	230000000	Yes		
300	sonico.com	Social Networks	16000000	0.9	540000000	Yes		
301	macys.com	Mass Merchants & Department Stores	16000000	0.8	650000000	Yes		
302	wan71.com		16000000	0.8	42000000	No		
303	hexun.com	Investing	16000000	0.9	190000000	Yes		
304	careerbuilder.com	Job Listings	16000000	0.9	400000000	Yes		
305	typepad.com	Blogging Resources & Services	16000000	0.9	90000000	Yes		
306	shopping.com	Price Comparisons	16000000	0.8	73000000	Yes		
307	zing.vn	Viet Nam	16000000	0.9	1900000000	Yes		
308	imvu.com	Social Networks	16000000	0.9	210000000	Yes		
309	mop.com	Roleplaying Games	16000000	0.8	190000000	Yes		
310	verycd.com	File Sharing & Hosting	16000000	0.9	160000000	Yes		
311	whitepages.com	Search Engines	16000000	0.9	210000000	Yes		
312	over-blog.com	Blogging Resources & Services	16000000	0.9	170000000	Yes		
313	robtex.com		16000000	0.8	37000000	Yes		
314	jugem.jp	Blogging Resources & Services	16000000	0.8	99000000	Yes		
315	monster.com	Jobs	16000000	0.9	340000000	Yes		
316	allegro.pl	Auctions	16000000	0.9	4400000000	Yes		
317	wanmei.com	Vision Care	16000000	0.9	96000000	No		
318	95599.cn	Banking	16000000	0.9	210000000	No		
319	picnik.com	Photographic & Digital Arts	16000000	0.8	1100000000	Yes		
320	zimbio.com	Celebrities & Entertainment News	16000000	0.8	140000000	Yes		
321	duowan.com	Online Games	16000000	0.9	400000000	Yes		
322	fedex.com	Mail & Package Delivery	16000000	0.9	310000000	Yes		
323	abchina.com	Banking	16000000	0.9	230000000	No		
324	lowes.com	Home Improvement	16000000	0.8	340000000	Yes		
325	tenpay.com	Merchant Services & Payment Systems	16000000	0.8	190000000	No		
326	moonbasa.com	Undergarments	16000000	0.9	97000000	No		
327	asahi.com	News	16000000	0.9	260000000	Yes		
328	gmx.net	Web Portals	16000000	0.9	720000000	Yes		
329	juegos.com	Online Games	16000000	0.9	550000000	Yes		
330	sears.com	Mass Merchants & Department Stores	16000000	0.8	280000000	Yes		
331	dianping.com	Dining Guides	16000000	0.9	130000000	Yes		
332	hotels.com	Hotels & Accommodations	16000000	0.9	230000000	Yes		
333	woyo.com	Social Networks	16000000	0.9	54000000	No		
334	sakura.ne.jp	Web Hosting & Domain Registration	16000000	0.8	210000000	Yes		
335	libero.it	Web Portals	16000000	0.9	1400000000	Yes		
336	zqgame.com	Sony PlayStation	15000000	0.8	35000000	Yes		
337	rediff.com	Web Portals	15000000	0.8	1300000000	Yes		
338	caixa.gov.br	Banking	15000000	0.8	500000000	No		
339	deviantart.com	Photographic & Digital Arts	15000000	0.8	870000000	Yes		
340	mylife.com	People Search	15000000	0.8	98000000	Yes		
341	amazon.cn	Shopping Portals & Search Engines	15000000	0.8	230000000	No		
342	pagesjaunes.fr	Business & Personal Listings	15000000	0.8	270000000	Yes		
343	wikimapia.org	Maps	15000000	0.8	280000000	Yes		
344	bild.de	News	15000000	0.8	450000000	Yes		
345	gutefrage.net	Educational Resources	15000000	0.8	60000000	Yes		
346	hubpages.com	Investing	15000000	0.8	56000000	Yes		
347	ning.com	Web Design & Development	15000000	0.8	230000000	Yes		
348	softpedia.com	Software	15000000	0.8	81000000	Yes		
349	tu.tv	Online Video	15000000	0.8	120000000	Yes		
350	constantcontact.com	Email & Messaging	15000000	0.8	230000000	Yes		
351	pcauto.com.cn	Vehicle Shopping	15000000	0.8	800000000	Yes		
352	mobile.de	Vehicle Shopping	15000000	0.8	1500000000	Yes		
353	orkut.co.in	Social Networks	15000000	0.8	1200000000	Yes		
354	ournba.net	Online Video	15000000	0.8	89000000	Yes		
355	passport.net	Email & Messaging	15000000	0.8	80000000	Yes		
356	liutilities.com	Software Utilities	14000000	0.8	28000000	No		
357	qire123.com	Online Video	14000000	0.8	270000000	Yes		
358	jcpenney.com	Mass Merchants & Department Stores	14000000	0.8	540000000	Yes		
359	mainichi.jp	Newspapers	14000000	0.8	130000000	Yes		
360	justin.tv	Online Video	14000000	0.8	600000000	Yes		
361	xici.net	Online Communities	14000000	0.8	210000000	Yes		
362	ustream.tv	Online Video	14000000	0.8	140000000	Yes		
363	southwest.com	Air Travel	14000000	0.8	330000000	Yes		
364	kioskea.net	Computers & Electronics	14000000	0.8	80000000	Yes		
365	intel.com	Chips & Processors	14000000	0.8	80000000	No		
366	51.com	Social Networks	14000000	0.8	720000000	Yes		
367	sweetim.com	Clip Art & Animated GIFs	14000000	0.8	210000000	Yes		
368	manta.com	Business & Industrial	14000000	0.8	56000000	Yes		
369	verizon.com	Service Providers	14000000	0.8	960000000	Yes		
370	squidoo.com	Web Services	14000000	0.8	66000000	Yes		
371	baixing.com	Classifieds	14000000	0.8	540000000	Yes		
372	webs.com	Web Design & Development	14000000	0.8	190000000	Yes		
373	torrentz.eu	File Sharing & Hosting	14000000	0.8	330000000	Yes		
374	wikihow.com	How-To&sbquo; DIY & Expert Content	14000000	0.8	38000000	Yes		
375	allabout.co.jp	General Reference	14000000	0.8	98000000	Yes		
376	bitauto.com	Autos & Vehicles	13000000	0.7	490000000	Yes		
377	bizrate.com	Apparel	13000000	0.7	89000000	Yes		
378	addictinggames.com	Online Games	13000000	0.7	210000000	Yes		
379	ebuddy.com	Email & Messaging	13000000	0.7	250000000	Yes		
380	priceline.com	Travel	13000000	0.7	280000000	Yes		
381	washingtonpost.com	Newspapers	13000000	0.7	210000000	Yes		
382	armorgames.com	Online Games	13000000	0.7	130000000	Yes		
383	optmd.com	Advertising & Marketing	13000000	0.7	31000000	Yes		
384	wunderground.com	Weather	13000000	0.7	230000000	Yes		
385	filesonic.com	File Sharing & Hosting	13000000	0.7	88000000	No		
386	nick.com	Online Games	13000000	0.7	480000000	Yes		
387	rr.com	Web Portals	13000000	0.7	960000000	Yes		
388	tom.com	News	13000000	0.7	330000000	Yes		
389	agame.com	Computer & Video Games	13000000	0.7	210000000	Yes		
390	indiatimes.com	Newspapers	13000000	0.7	370000000	Yes		
391	sdo.com	Online Games	13000000	0.7	160000000	Yes		
392	opera.com	Internet Clients & Browsers	13000000	0.7	60000000	Yes		
393	mynet.com	Web Portals	13000000	0.7	1400000000	Yes		
394	univision.com	Web Portals	13000000	0.7	340000000	Yes		
395	chip.de	Computers & Electronics	13000000	0.7	130000000	Yes		
396	videobash.com	Humor	13000000	0.7	50000000	Yes		
397	usatoday.com	Newspapers	13000000	0.7	190000000	Yes		
398	ezinearticles.com	Dating & Personals	13000000	0.7	67000000	Yes		
399	accountonline.com	Credit Cards	13000000	0.7	230000000	Yes		
400	qidian.com	Fan Fiction	13000000	0.7	550000000	Yes		
401	61.com	Family-Oriented Games & Activities	13000000	0.7	120000000	No		
402	cartoonnetwork.com	Cartoons	13000000	0.7	410000000	Yes		
403	taleo.net	Management	13000000	0.7	360000000	Yes		
404	linternaute.com	Magazines	13000000	0.7	250000000	Yes		
405	foodnetwork.com	Cooking & Recipes	13000000	0.7	190000000	Yes		
406	virgilio.it	Web Portals	13000000	0.7	600000000	Yes		
407	best-price.com	Price Comparisons	13000000	0.7	45000000	Yes		
408	rakuten.ne.jp	Shopping Portals & Search Engines	13000000	0.7	110000000	Yes		
409	sp.gov.br	State & Local Government	13000000	0.7	550000000	Yes		
410	beemp3.com	Music Streams & Downloads	13000000	0.7	130000000	Yes		
411	formspring.me	Social Networks	13000000	0.7	500000000	No		
