IP_Family,BOOK title,BOOK ISBN,Rank,Long Desc.
9780596000264.IP,"HTML & XHTML: The Definitive Guide, 4E",9780596000264,25,"HTML is changing so fast it's almost impossible to keep up with  developments.  XHTML is HTML 4.0 rewritten in XML; it provides the precision of XML while retaining the flexibility of HTML. <I>HTML &amp; XHTML: The Definitive Guide,</I> 4th Edition, brings it all together. It's the most comprehensive book available on HTML and XHTML today. It covers Netscape Navigator 6.0, Internet Explorer 5.0, HTML 4.01, XHTML 1.0, JavaScript, Style sheets, Layers, and all of the features supported by the popular web browsers.
  Learning HTML and XHTML is like learning any new language, computer or human. Most students first immerse themselves in examples. Studying others is a natural way to learn, making learning easy and fun.  Imitation can take learning only so far, though. It's as easy to learn bad habits through imitation as it is to acquire good ones. The better way to become HTML-fluent is through a comprehensive reference that covers the language syntax, semantics, and variations in detail and demonstrates the difference between good and bad usage.
<i>HTML &amp; XHTML: The Definitive Guide,</i> 4th Edition, helps in both ways: the authors cover every element of HTML/XHTML in detail, explaining how each element works and how it interacts with other elements. Many hints about HTML/XHTML style smooth the way for writing documents that range from simple online documentation to complex presentations. With hundreds of examples, the book gives web authors models for writing their own effective web pages and for mastering advanced features, like style sheets and frames.
<i>HTML &amp; XHTML: The Definitive Guide,</i> 4th Edition, shows how to:
<ul><li>Implement the XHTML 1.0 standard and prepare web pages for the transition to XML browsers</li>
<li>Use style sheets and layers to control a document's appearance</li>
<li>Create tables, from simple to complex</li>
<li>Use frames to coordinate sets of documents</li>
<li>Design and build interactive forms and dynamic documents</li>
<li>Insert images, sound files, video, Java applets, and JavaScript programs</li>
<li>Create documents that look good on a variety of browsers</li>
</ul>
The book comes with a handy quick reference card listing HTML tags."
9781565923911.IP,Java Servlet Programming,9781565923911,26,"A few years ago, the hype surrounding applets put Java on the map as a programming language for the Web. Today, Java servlets stand poised to take Java to the next level as a Web development language. The main reason is that servlets offer a fast, powerful, portable replacement for CGI scripts.
The Java Servlet API, introduced as the first standard extension to Java, provides a generic mechanism to extend the functionality of any kind of server. Servlets are most commonly used, however, to extend Web servers, performing tasks traditionally handled by CGI programs. Web servers that can support servlets include: Apache, Netscape's FastTrack and Enterprise Servers, Microsoft's IIS, O'Reilly's WebSite, and JavaSoft's Java Web Server.
The beauty of servlets is that they execute within the Web server's process space and they persist between invocations. This gives servlets tremendous performance benefits over CGI programs. Yet because they're written in Java, servlets are far less likely to crash a Web server than a C-based NSAPI or ISAPI extension. Servlets have full access to the various Java APIs and to third-party component classes, making them ideal for use in communicating with applets, databases, and RMI servers. Plus, servlets are portable between operating systems and between servers -- with servlets you can ""write once, serve everywhere.""
<i>Java Servlet Programming</i> covers everything you need to know to write effective servlets and includes numerous examples that you can use as the basis for your own servlets. The book explains the servlet life cycle, showing how you can use servlets to maintain state information effortlessly.  It also describes how to serve dynamic Web content, including both HTML pages and multimedia data. Finally, it explores more advanced topics like integrated session tracking, efficient database connectivity using JDBC, applet-servlet communication, inter-servlet communication, and internationalization."
9780596522353.IP,slide:ology,9780596522346,27,"No matter where you are on the organizational ladder, the odds are high that you've delivered a high-stakes presentation to your peers, your boss, your customers, or the general public. Presentation software is one of the few tools that requires professionals to think visually on an almost daily basis. But unlike verbal skills, effective visual expression is not easy, natural, or actively taught in schools or business training programs. <em>slide:ology</em> fills that void.<br />
<br />
Written by Nancy Duarte, President and CEO of Duarte Design, the firm that created the presentation for Al Gore's Oscar-winning film, <em>An Inconvenient Truth</em>, this book is full of practical approaches to visual story development that can be applied by anyone. The book combines conceptual thinking and inspirational design, with insightful case studies from the world's leading brands. With <em>slide:ology</em> you'll learn to:<br />
<br />
<ul>
<li>Connect with specific audiences</li>
<li>Turn ideas into informative graphics</li> 
<li>Use sketching and diagramming techniques effectively</li>
<li>Create graphics that enable audiences to process information easily</li>
<li>Develop truly influential presentations</li>
<li>Utilize presentation technology to your advantage</li>
</ul><p>Millions of presentations and billions of slides have been produced -- and most of them miss the mark. <em>slide:ology</em> will challenge your traditional approach to creating slides by teaching you how to be a visual thinker. And it will help your career by creating momentum for your cause."
9781565921276.IP,"Essential System Administration, 2E",9781565921276,28,"<i>Essential System Administration</i> takes an in-depth look at the fundamentals of Unix system administration in a real-world, heterogeneous environment.  Whether you are a beginner or an experienced administrator, you'll quickly be able to apply its principles and advice to your everyday problems.  
The book approaches Unix system administration from the perspective  of your job -- the routine tasks and troubleshooting that make up your day.  Whether you're dealing with frustrated users, convincing an uncomprehending management that you need new hardware, rebuilding the kernel, or simply adding new users, you'll find help in this book. You'll also learn about back up and restore and how to set up printers, secure your system, and perform many other system administration tasks.  But the book is not for full-time system administrators alone.  Linux users and others who administer their own systems will benefit from its practical, hands-on approach.
This second edition has been updated for all major Unix platforms, including SunOS 4.1, Solaris 2.4, AIX 4.1, Linux 1.1, Digital Unix, OSF/1, SCO Unix Version 3, HP/UX Versions 9 and 10,  and IRIX Version 6.  The entire book has been thoroughly reviewed and  tested on all of the platforms covered.  In addition, networking,  electronic mail, security, and kernel configuration topics have been  expanded substantially.
Topics covered include:
<ul>
<li>Starting up and shutting down your system 
</li>
<li>Adding new users
</li>
<li>Managing processes
</li>
<li>System security
</li>
<li>Organizing and planning file systems
</li>
<li>Planning and performing backups
</li>
<li>Setting up pointers
</li>
<li>TCP/IP networking
</li>
<li>Setting up email 
</li>
<li>Adding terminals and disk drives
</li>
<li>Setting up and using the accounting system</li>
</ul>"
9781565925120.IP,"DNS and BIND, 3E",9781565925120,29,"<i>DNS and BIND</i> discusses one of the Internet's fundamental building blocks: the distributed host information database that's responsible for translating names into addresses, routing mail to its proper destination, and many other services. As the authors write in the preface, if you're using the Internet, you're already using DNS --  even if you don't know it.
The third edition covers BIND 4.9, on which most commercial products are currently based, and BIND 8, which implements many important new features and will be the basis for the next generation of commercial name servers. It also covers topics like DNS security (greatly improved with BIND 8.1), asynchronous notification of changes to a zone, dynamic updates, and programming with Perl's Net::DNS module.
Whether you're an administrator involved with DNS on daily basis, or a user who wants to be more informed about the Internet and how it works, you'll find that this book is essential reading.
Topics include:
<ul><li>What DNS does, how it works, and when you need to use it</li>
<li>How to find your own place in the Internet's name space
<li>Setting up name servers</li>
<li>Using MX records to route mail</li>
<li>Configuring hosts to use DNS name servers</li>
<li>Subdividing domains (parenting)</li>
<li>Securing your name server: restricting who can query your server, preventing unauthorized zone transfers, avoiding bogus name servers, etc.</li>
<li>Mapping one name to several servers for load sharing</li>
<li>Troubleshooting: using nslookup, reading debugging output, common problems</li>
<li>DNS programming, using the resolver library and Perl's Net::DNS  module</li></ul>"
9781565922259.IP,"sed & awk, 2E",9781565922259,30,"<i>sed & awk</i> describes two text processing programs that are mainstays of the UNIX programmer's toolbox.
<i>sed</i> is a ""stream editor"" for editing streams of text that might be too large to edit as a single file, or that might be generated on the fly as part of a larger data processing step. The most common operation done with <i>sed</i> is substitution, replacing one block of text with another.
<i>awk</i> is a complete programming language. Unlike many conventional  languages, <i>awk</i> is ""data driven"" -- you specify what kind of data you  are interested in and the operations to be performed when that data is  found. <i>awk</i> does many things for you, including automatically  opening and closing data files, reading records, breaking the records up  into fields, and counting the records. While <i>awk</i> provides the  features of most conventional programming languages, it also includes some  unconventional features, such as extended regular expression matching and  associative arrays. <i>sed & awk</i> describes both programs in detail  and includes a chapter of example <i>sed</i> and <i>awk</i> scripts.
This edition covers features of <i>sed</i> and <i>awk</i> that are  mandated by the POSIX standard. This most notably affects <i>awk</i>, where  POSIX standardized a new variable, CONVFMT, and new functions, <i>toupper</i>()  and <i>tolower</i>(). The CONVFMT variable specifies the conversion format  to use when converting numbers to strings (<i>awk</i> used to use OFMT for this  purpose). The <i>toupper</i>() and <i>tolower</i>() functions each take a  (presumably mixed case) string argument and return a new version of the  string with all letters translated to the corresponding case.
In addition, this edition covers GNU <i>sed</i>, newly available since the first edition. It also updates the first edition coverage of Bell Labs <i>nawk</i>  and GNU <i>awk</i> (<i>gawk</i>), covers <i>mawk</i>, an additional freely  available implementation of <i>awk</i>, and briefly discusses three commercial versions of <i>awk</i>, MKS <i>awk</i>, Thompson Automation <i>awk</i>  (<i>tawk</i>), and Videosoft (VSAwk)."
9781565925281.IP,"Apache: The Definitive Guide, 2E",9781565925281,31,"The freeware Apache web server runs on about half of the world's  existing web sites, and it is rapidly increasing in popularity.  <i>Apache: The Definitive Guide</i>, written and reviewed  by key members of the Apache Group, is the only complete guide  on the market today that describes how to obtain, set up, and  secure the Apache software. 
Apache was originally based on code and ideas found in the most  popular HTTP server of the time: NCSA httpd 1.3 (early 1995). It  has since evolved into a far superior system that can rival (and  probably surpass) almost any other Unix-based HTTP server in terms  of functionality, efficiency, and speed.  The new version now includes  support for Win32 systems. This new second edition of <I>Apache: The Definitive Guide</I> fully describes Windows support and all the other  Apache 1.3 features.    Contents include:
<ul><li>The history of the Apache Group</li>
<li>Obtaining and compiling the server</li>
<li>Configuring and running Apache on Unix and Windows, including such topics as directory structures, virtual hosts, and CGI programming </li>
<li>The Apache 1.3 Module API</li>
<li>Apache security</li>
<li>A complete list of configuration directives</li>
</ul>
With <i>Apache: The Definitive Guide</i>, web administrators new  to Apache can get up to speed more quickly than ever before by  working through the tutorial demo. Experienced administrators and  CGI programmers, and web administrators moving from Unix to Windows,  will find the reference sections indispensable. <i>Apache: The Definitive Guide</i>  is the definitive documentation for the world's most popular web  server. Includes CD-ROM with Apache manuals and demo sites discussed  in the book."
9781565922228.IP,"sendmail, 2E",9781565922228,32,"This second edition of <i>sendmail</i> covers sendmail Version 8.8 from Berkeley and the standard versions available on most systems. It is far  and away the most comprehensive book ever written on sendmail, the program  that acts like a traffic cop in routing and delivering mail on Unix-based  networks. Although sendmail is used on almost every Unix system, it's one  of the last great uncharted territories--and most difficult utilities to  learn--in Unix system administration.
This book provides a complete sendmail tutorial, plus extensive reference  material on every aspect of the program. What's more, it's authoritative,  having been coauthored by Eric Allman, the developer of sendmail. In  addition to Version 8.8, it covers earlier versions available on many  systems, such as those found on Sun workstations. Part One is a tutorial  on understanding sendmail; Part Two covers the building, installation, and  m4 configuration of sendmail; Part Three covers practical issues in sendmail  administration; Part Four is a comprehensive reference section; and Part  Five consists of appendixes and a bibliography.
In this second edition an expanded tutorial demonstrates hub's <i>cf</i> file and <i>nullclient.mc</i>. Other topics include the #error delivery agent, sendmail's exit values, MIME headers, and how to set up and use the user database, <i>mailertable</i>, and <i>smrsh</i>. Solution-oriented examples  throughout the book help you solve your own sendmail problems. Plus, this  edition is cross-referenced with section numbers."
9780596526948.IP,Essential ActionScript 3.0,9780596526948,33,"<p>ActionScript 3.0 is a huge upgrade to Flash's programming language. The enhancements to ActionScript's performance, feature set, ease of use, cleanliness, and sophistication are considerable. <em>Essential ActionScript 3.0</em> focuses on the core language and object-oriented programming, along with the Flash Player API.
<em>Essential ActionScript</em> has become the #1 resource for the Flash and ActionScript development community, and the reason is the author, Colin Moock. Many people even refer to it simply as ""The Colin Moock book.""</p>
<p>
And for good reason: No one is better at turning ActionScript inside out, learning its nuances and capabilities, and then explaining everything in such an accessible way. Colin Moock is not just a talented programmer and technologist; he's also a gifted teacher.</p>
<p>
<em>Essential ActionScript 3.0</em> is a radically overhauled update to <em>Essential ActionScript 2.0</em>. True to its roots, the book once again focuses on the core language and object-oriented programming, but also adds a deep look at the centerpiece of Flash Player's new API: display programming. Enjoy hundreds of brand new pages covering exciting new language features, such as the DOM-based event architecture, E4X, and namespaces--all brimming with real-world sample code.</p>
<p>
The ActionScript 3.0 revolution is here, and <em>Essential ActionScript 3.0</em>'s steady hand is waiting to guide you through it.</p>
<p><b>Adobe Developer Library</b> is a co-publishing partnership between O'Reilly Media and Adobe Systems, Inc. and is designed to produce the number one information resources for developers who use Adobe technologies. Created in 2006, the Adobe Developer Library is the official source for comprehensive learning solutions to help developers create expressive and interactive web applications that can reach virtually anyone on any platform. With top-notch books and innovative online resources covering the latest in rich Internet application development, the Adobe Developer Library offers expert training and in-depth resources, straight from the source. </p>"
9780596000165.IP,Java and XML,9780596000165,34,"XML has been the biggest buzzword on the Internet community for the past year. But how do you cut through all the hype and actually put it to work? Java  revolutionized the programming world by providing a platform-independent  programming language. XML takes the revolution a step further with  a platform-independent language for interchanging data. Java and XML  share many features that are ideal for building web-based enterprise  applications, such as platform-independence, extensibility, reusability, and  global language (Unicode) support, and both are based on industry standards.  Together Java and XML allow enterprises to simplify and lower costs  of information sharing and data exchange. <i>Java and XML</i> shows how to  put the two together, building real-world applications in which both the  code and the data are truly portable.
This book covers:
<ul><li>The basics of XML</li>
<li>Using standard Java APIs to parse XML</li>
<li>Designing new document types using DTDs and Schemas</li>
<li>Writing programs that generate XML data</li>
<li>Transforming XML into different forms using XSL transformations (XSL/T)</li>
<li>XML-RPC</li>
<li>Using a web publishing framework like Apache-Cocoon</li>
</ul>
This is the first book to cover the most recent versions of the DOM  specification (DOM 2), the SAX API (SAX 2) and Sun's Java API for XML."
9781565924345.IP,MySQL and mSQL,9781565924345,35,"MySQL and mSQL are popular and robust database products that support key subsets of SQL on both Linux and Unix systems.  Both products are free for nonprofit use and cost a small amount for commercial use. 
Even a small organization or web site has uses for a database. Perhaps you keep track of all your customers and find that your information is  outgrowing the crude, flat-file format you started with. Or you want to ask your web site's visitors for their interests and preferences and put up a fresh web page that tallies the results. 
Unlike commercial databases, MySQL and mSQL are affordable and easy to  use. If you know basic C, Java, Perl, or Python, you can quickly write a  program to interact with your database. In addition, you can embed queries  and updates right in an HTML file so that a web page becomes its own interface to the database.
This book is all you need to make use of MySQL or mSQL. It takes you through the whole process from installation and configuration to programming interfaces and basic administration. Includes reference  chapters and ample tutorial material.
Topics include:
<ul><li>Introductions to simple database design and SQL</li>
<li>Building, installation, and configuration</li>
<li>Basic programming APIs for C, C++, Java (JDBC), Perl, and Python</li>
<li>CGI programming with databases in C and Perl</li>
<li>Web interfaces: PHP, W3-mSQL, Lite, and mSQLPerl</li></ul>"
9780596000820.IP,Mac OS X:  The Missing Manual,9780596000820,36,"For personal computer users of every stripe, Mac OS X is a  whole new ballgame.  It combines Apple's trademark visual  elegance with the underlying stability of UNIX, which adds up  to a rock-solid, gorgeous operating system.
Unfortunately, learning Mac OS X is also whole new ballgame.   As author David Pogue notes in his introduction, ""Mac OS X""  is a misnomer--it isn't really the Mac OS at all; there's  scarcely a single line of code in common with the tangled,  ancient code of the older Mac OS.  Hundreds of features have  been removed, added, or moved around. 
Few in the world are more qualified to guide Mac users through  the undocumented jungle of Mac OS X than David Pogue,  triple-award-winning former Macworld columnist and author of the  best-selling <i>Mac OS 9: The Missing Manual</i>. His new book  shines light on both the broad strokes and the fine points of  Mac OS X version 10.1, including understanding its UNIX-like  folder structure, setting up an office network, capitalizing on  its rich Internet features, and even hacking the real power of  the UNIX underbelly by summoning the command-line interface. <i>Mac  OS X: The Missing Manual</i> also covers each of the control  panels and bonus programs that comes with Mac OS X, including  iTunes, Mail, Sherlock, and Apache, the built-in Web-server.
For Mac users who have become accustomed to the older Mac OS,  Appendix A, the ""Where'd It Go?"" dictionary, may be worth the price  of the book all by itself.  It's an alphabetical listing of every  feature that was once in Mac OS 9, complete with an explanation of  what became of it in Mac OS X.
Through it all, Pogue shows off the refreshing humor, technical  insight, and crystal-clear, plain-English prose that made number  one best-sellers out of his other books in the Missing Manual series,  including Mac OS 9, Windows Me, and iMovie 2."
9780596006181.IP,Adobe Photoshop CS One-on-One,9780596006181,37,"Photoshop is an essential, powerful, and sometimes a befuddling tool. <i>Adobe Photoshop CS One-on-One</i> clears the fog, taking you from graphics newbie to Photoshop warrior, under the watchful, easygoing guidance of Photoshop master Deke McClelland. This full-color book, accompanied by nearly two hours of video tutorials on CD, is an up close and personal training experience. Deke's classroom approach takes you step by step through real-world projects that help you gain Photoshop proficiency. Along the way, you'll get a good dose of graphics theory, best practices, and tips for avoiding Photoshop disasters.
This one-of-a-kind approach fills a gap in the available literature and delivers a unique learning experience. "
9781565928695.IP,"Enterprise JavaBeans, 2E",9781565928695,38,"Enterprise JavaBeans (versions 1.1 and 1.0) is an important technology for server-side application development in Java. It offers a component  architecture for developing distributed, multitiered enterprise applications.  This model allows you to build complex, mission-critical systems using simple  snap-together pieces that model individual business objects and processes.  Enterprise JavaBeans (EJB) greatly simplifies the process of development by  automatically taking care of system issues like object persistence and  transaction management.
This book provides a thorough introduction to EJB 1.1 and 1.0 for the  enterprise software developer. It shows you how to develop enterprise Beans  to model your business objects and processes. One powerful advantage of  the EJB architecture is that it allows you to partition work appropriately  between different parts of the system: the database provides persistence,  your Beans model various business entities and the interactions between  them, and your client application provides a user interface, but incorporates  minimal business logic. The end result is a highly flexible system built  from components that can easily be reused, and that can be changed to suit  your needs without upsetting other parts of the system.
<i>Enterprise JavaBeans, 2nd Edition</i> teaches you how to take advantage  of the flexibility and simplicity that this powerful new architecture provides.
This book covers:
<ul><li>Enterprise JavaBeans 1.1 and 1.0</li>
<li>Developing entity Beans and session Beans</li>
<li>XML Deployment Descriptors</li>
<li>Using the client-side API to use enterprise Beans</li>
<li>Transaction Management</li>
<li>Design Strategies</li>
<li>Introduction to J2EE</li></ul>"
9780596527525.IP,"Learning Web Design, 3E",9780596527525,39,"Everything you need to know to create professional web sites is right here. <em>Learning Web Design</em> starts from the beginning -- defining how the Web and web pages work -- and builds from there. By the end of the book, you'll have the skills to create multi-column CSS layouts with optimized graphic files, and you'll know how to get your pages up on the Web.<br />
<br />
This thoroughly revised edition teaches you how to build web sites according to modern design practices and professional standards. <em>Learning Web Design</em> explains: 
<ul>
<li>How to create a simple (X)HTML page, how to add links and images</li>
<li>Everything you need to know about web standards -- (X)HTML, DTDs, and more</li>
<li>Cascading Style Sheets -- formatting text, colors and backgrounds, using the box model, page layout, and more</li>
<li>All about web graphics, and how to make them lean and mean through optimization</li>
<li>The site development process, from start to finish</li>
<li>Getting your pages on the Web -- hosting, domain names, and FTP</li>
</ul>
The book includes exercises to help you to learn various techniques, and short quizzes to make sure you're up to speed with key concepts. If you're interested in web design, <em>Learning Web Design</em> is the place to start."
9781565923584.IP,VB & VBA in a Nutshell: The Language,9781565923584,40,"The online documentation of VB/VBA language components seems to follow the 80/20 rule: the basic facts that you need to use a language statement are  provided in the documentation. But the additional 20 percent that you need  to use it effectively or to apply it to special cases is conspicuously absent.  To a professional VB/VBA programmer, though, this missing 20 percent of the  language's documentation isn't a luxury, it's a necessity. And in 
<i>VB & VBA in a Nutshell: The Language</i>, it finally is available.
The bulk of the book consists of an alphabetical reference to the  statements, procedures, and functions of the VB/VBA language. Each entry has a standardized listing containing the following information:
<ul>
<li>Its syntax, using standard code conventions
<li>Differences in the operation of the keyword in a macro environment  (e.g., in Office) and in Visual Basic, if there are any</li>
<li>A list of arguments accepted by the function or procedure, if any</li>
<li>A description of the data type returned by a function
<li>The finer points of a keyword's usage that are often omitted from  or blurred over by the documentation</li>
<li>Tips and gotchas that include undocumented behaviors and practical applications for particular language elements -- a section particularly  invaluable for diagnosing or avoiding potential programming problems</li>
<li>A brief, nonobvious example that illustrates the use of the keyword</li>
</ul>
Also included in <i>VB & VBA in a Nutshell: The Language</i> is a brief  overview of the VB/VBA language, including:
<ul>
<li>Basic VBA programming concepts, such as its data types and its support for variables, constants, and arrays</li>
<li>Error handling in VBA applications</li>
<li>Object programming with VBA</li>
<li>Using VBA with particular applications. Excel and Project are utilized to show how to work with an application's integrated development environment  and to take advantage of its object model   Regardless of how much experience you have programming with VBA, this is the book you'll pick up time and time again both as your standard reference  guide and as a tool for troubleshooting and identifying programming problems. </li>
</ul>
<i>VB & VBA in a Nutshell: The Language</i> is the definitive reference for  Visual Basic and VBA developers."
9781565923270.IP,WebSite Professional 䋢 V2.0,9781565923270,41,"Since its debut as the first Windows Web server, WebSite has developed a large following of the most savvy and experienced Webmasters. While providing the latest innovations in Web server technology, WebSite Professional offers more options for creating dynamic sites than any other Windows Web server. From programmability and publishing power to commerce and security, it is the most open, flexible, and robust Web server on the market. With version 2.0, O'Reilly once again ups the ante and redefines what a Web server should be.
<b>More Options for Creating Dynamic Sites</b> If your Web sites consist of more than just static HTML pages, this is the server for you. No other Web server provides as many powerful options for serving dynamic content and Web-based applications using the tools you prefer. With WebSite Professional 2.0 you can:
<ul>
<li>Use the scripting language of your choice. You can use VBScript, JScript, Perl, or Python with Microsoft's Active Server Pages and WebSite Pro's integrated, easy-to-use ASP administration.</li>
<li>Get more functionality with the powerful, easy-to-learn iHTML. iHTML Pro, WebSite Pro's new, built-in HTML extension framework, gives you over 100 additional HTML-like tags that execute on the server and work with any browser. You can accomplish everything from ODBC database access to file manipulation, from IF...THEN statements to dynamic graphic creation and more, simply by adding the HTML-like iHTML tags to your documents (no additional files needed!).</li>
<li>Enjoy unlimited extensibility through Application Programming Interface (API) technology. WebSite Pro offers its own WebSite API (WSAPI), which exposes over 40 WebSite internal server functions, and greatly simplifies development over other server APIs. WebSite also supports Microsoft's ISAPI for compatibility with hundreds of third-party products.</li>
<li>Build complex Web applications using WebSite's unmatched server-side Java support.  WebSite Professional gives you lightning-fast server-side Java support with its embedded JDK 1.1 interpreter and a unique Java API, which allows for faster and more powerful Web-based Java development than ever before.</li>
</ul>
<b>A Solid Merchant Solution</b> WebSite Pro 2.0 includes its own merchant server, iHTML Merchant, which makes launching your own Web store a breeze.  iHTML Merchant gives you a straightforward, fully customizable and extensible set of tools to set up and manage an online store. The setup and management of multiple stores is done through a simple Web-based interface for full remote administration. Since iHTML Merchant is built on open iHTML code--not a closed executable--you have unlimited customizability simply by editing the  HTML pages.
<b>Top-of-the-Line Security</b> WebSite Professional offers advanced security, using SSL-3 and a bevy of new features. It provides support for native Windows NT authentication, in addition to WebSite's own users, groups, and realms; as well as support for Microsoft NTLM authentication, eliminating the need for users to enter usernames and passwords on NT-based intranets. Separate anonymous accounts for virtual servers allow for protected CGI/API uploads. A new Key Ring Manager provides graphical control over private/public key pairs, certificates, and trusted roots.
<b>More Great Features and Accessories</b> WebSite Professional provides a host of other powerful features, including:
<ul>
<li>HTTP/1.1 persistent connections and  byte-range support</li>
<li>IP-less virtual servers (multiple virtual servers sharing a single IP address)</li>
</ul>
To give you a jump-start in developing dynamic Web applications, WebSite Professional comes with Software Development Kits with examples for server-side Java, Perl 5 for Win32, WSAPI, and Visual Basic CGI. Also included is the award-winning HTML editor, HomeSite 2.5, along with some of the finest Web server accessory programs available:
<ul>
<li>WebView, providing a fast graphical outline of Web documents and links for managing your site, logging statistics, and more</li>
<li>QuickStats, which processes any log format, any size, and gives you instant answers to who's been accessing your sites and how much</li>
<li>WebIndex for allowing users to easily search your entire site</li>
</ul>
<b>Unmatched Documentation Plus Installation Support</b> WebSite Professional 2.0 includes the finest documentation available -- two books, with over 900 pages of concise, detailed instruction. And when you register, you'll receive 30 days of free technical support for basic server installation.
<b>System Requirements</b>
<ul>
<li> 486 (or higher) Intel-based CPU (Pentium recommended)</li>
<li> VGA video display adapter</li>
<li> CD-ROM drive</li>
<li> 16 MB RAM for Windows 95 (32 MB recommended)</li>
<li> 32 MB for Windows NT 4.0 (64 MB recommended)</li>
<li> 40 MB free disk space base install</li>
<li> 60 MB free disk space full install</li>
<li> Windows 95 or Windows NT 4.0 or higher with TCP/IP connectivity installed</li>
<li> Use of the enhanced security features requires separate purchase of a digital certificate from a certification authority.</li>
</ul>"
9780596002831.IP,"Java In a Nutshell, 4E",9780596002831,42,"Java just keeps growing, adding features, functionality, complexity, and tempting developers to growl with frustration.  The new 1.4 release of Java 2 Standard edition increases the size of the platform by 50%, to 2757 classes in 135 packages.  How are you going to figure out what this means for your applications?  As always, <i>Java in a Nutshell</i> has the answers. The new 4th edition still contains an accelerated introduction to the Java programming language and its key APIs so you can start writing code right away.  And with more than 250 new pages, author David Flanagan quickly brings you up to speed on new features that come with version 1.4:
<ul>
<li type=""disc"">High-performance NIO API </li>
<li type=""disc"">Support for pattern matching with regular expressions </li>
<li type=""disc"">A logging API </li>
<li type=""disc"">A user preferences API </li>
<li type=""disc"">New Collections classes </li>
<li type=""disc"">An XML-based persistence mechanism for Java Beans </li>
<li type=""disc"">Support for XML parsing using both the DOM and SAX APIs </li>
<li type=""disc"">User authentication with the JAAS API </li>
<li type=""disc"">Support for secure network connections using the SSL protocol </li>
<li type=""disc"">Support for cryptography </li>
</ul>
The book contains O'Reilly's classic quick-reference for all the classes in the essential Java packages, so you can dive in and find what you need to make the new 1.4 version work for you. For as long as Java developers have existed, <i>Java in a Nutshell</i> has been ready, willing and able to take you right to the heart of the program, turning those frustrated grrrrss into purrrss of satisfaction. No wonder readers of Java Developer's Journal voted this the ""Best Java Book"" the past two years in a row!
"
9781565922600.IP,"UNIX  PowerTools, 2E",9781565922600,43,"Ideal for UNIX users who hunger for technical -- yet accessible -- information,
<i>UNIX Power Tools, 2nd Edition</i>, consists of tips, tricks, concepts, and  freeware (CD-ROM included). It also covers add-on utilities and how to take  advantage of clever features in the most popular UNIX utilities.
Loaded with even more practical advice about almost every aspect of UNIX,  this edition addresses the technology that UNIX users face today,  differing from the first edition in a number of important ways.
First, it slants the blend of options and commands more toward the POSIX  utilities, including the GNU versions; the <i>bash</i> and <i>tcsh</i> shells have  greater coverage, but we've kept the first edition's emphasis on the core  concepts of <i>sh</i> and <i>csh</i> that will help you use all UNIX shells; and,  Perl is more important than <i>awk</i> these days, so we've de-emphasized
<Ii>awk</i> in this edition.
This is a browser's book...like a magazine that you don't read from start  to finish, but leaf through repeatedly until you realize that you've read  it all. The book is structured so that it bursts at the seams with cross  references. Interesting ""sidebars"" explore syntax or point out other  directions for exploration, including relevant technical details that  might not be immediately apparent. You'll find articles abstracted from  other O'Reilly books, new information that highlights program  ""tricks"" and ""gotchas,"" tips posted to the Net over the years, and other  accumulated wisdom.
The 53 chapters in this book discuss topics like file management, text editors, shell programming -- even office automation. Overall, there's plenty of material here to satisfy even the most voracious appetites. The bottom line? <i>UNIX Power Tools</i> is loaded with practical advice about almost every aspect of UNIX. It will help you think creatively about UNIX, and will help you get to the point where you can analyze your own problems. Your own solutions won't be far behind.
The CD-ROM includes all of the scripts and aliases from the book, plus
<i>perl</i>, GNU <i>emacs</i>, <i>netpbm</i> (graphics manipulation utilities), 
<i>ispell</i>,<i>screen</i>, the <i>sc</i> spreadsheet, and about 60 other freeware  programs. In addition to the source code, all the software is precompiled  for Sun4, Digital UNIX, IBM AIX, HP/UX, Red Hat Linux, Solaris, and SCO UNIX."
