"term","frequency","density","occurrence"
"arabia",2,9.41132182014964e-05,0.002
"arbock",3,0.000141169827302245,0.002
"arbocks",11,0.00051762270010823,0.002
"arboi",2,9.41132182014964e-05,0.002
"archbishop",9,0.000423509481906734,0.002
"archive",2,9.41132182014964e-05,0.002
"argos",4,0.000188226436402993,0.004
"arguing",2,9.41132182014964e-05,0.002
"argument",9,0.000423509481906734,0.006
"aristocracy",2,9.41132182014964e-05,0.002
"armadillo",2,9.41132182014964e-05,0.002
"army",8,0.000376452872805986,0.004
"arrangement",4,0.000188226436402993,0.004
"arrest",3,0.000141169827302245,0.002
"arrested",5,0.000235283045503741,0.004
"art",6,0.000282339654604489,0.006
"artfully",2,9.41132182014964e-05,0.002
"article",14,0.000658792527410475,0.01
"articleview",8,0.000376452872805986,0.002
"asbrand",2,9.41132182014964e-05,0.002
"asectionheadingcolorffffffbackgroundcolorfontfamilyarialfontsizexsmallfontweightboldfontstylenormaltextdecorationnonetextalignleft",4,0.000188226436402993,0.002
"aspects",2,9.41132182014964e-05,0.002
"assault",2,9.41132182014964e-05,0.002
"assessment",2,9.41132182014964e-05,0.002
"assets",2,9.41132182014964e-05,0.002
"association",7,0.000329396263705237,0.004
"assume",4,0.000188226436402993,0.004
"assumption",2,9.41132182014964e-05,0.002
"astronomers",2,9.41132182014964e-05,0.002
"astrophysics",2,9.41132182014964e-05,0.002
"async",7,0.000329396263705237,0.006
"asynchronous",6,0.000282339654604489,0.004
"atentamente",2,9.41132182014964e-05,0.002
"atmospheric",2,9.41132182014964e-05,0.002
"atoms",3,0.000141169827302245,0.002
"attachment",2,9.41132182014964e-05,0.002
"attack",7,0.000329396263705237,0.004
"attacker",2,9.41132182014964e-05,0.002
"attention",2,9.41132182014964e-05,0.002
"attractive",4,0.000188226436402993,0.004
"attributed",3,0.000141169827302245,0.002
"auction",2,9.41132182014964e-05,0.002
"audio",6,0.000282339654604489,0.006
"auditing",3,0.000141169827302245,0.002
"aug",18,0.000847018963813468,0.014
"august",17,0.000799962354712719,0.016
"australia",5,0.000235283045503741,0.004
"author",13,0.000611735918309727,0.004
"authoritatively",2,9.41132182014964e-05,0.002
"authors",5,0.000235283045503741,0.002
"autobiography",2,9.41132182014964e-05,0.002
"automatically",2,9.41132182014964e-05,0.002
"autopsy",2,9.41132182014964e-05,0.002
"autoresponder",2,9.41132182014964e-05,0.002
"availability",2,9.41132182014964e-05,0.002
"available",13,0.000611735918309727,0.01
"average",16,0.000752905745611971,0.006
"averages",5,0.000235283045503741,0.002
"averaging",3,0.000141169827302245,0.002
"awarded",2,9.41132182014964e-05,0.002
"aware",3,0.000141169827302245,0.002
"awareness",2,9.41132182014964e-05,0.002
"baby",9,0.000423509481906734,0.006
"backups",4,0.000188226436402993,0.004
"bacteria",2,9.41132182014964e-05,0.002
"bad",7,0.000329396263705237,0.006
"badly",2,9.41132182014964e-05,0.002
"bag",3,0.000141169827302245,0.002
"bags",3,0.000141169827302245,0.002
"bain",2,9.41132182014964e-05,0.002
"bamping",6,0.000282339654604489,0.004
"bandages",2,9.41132182014964e-05,0.002
"bandit",4,0.000188226436402993,0.002
"banes",2,9.41132182014964e-05,0.002
"bang",2,9.41132182014964e-05,0.002
"bangkok",10,0.000470566091007482,0.004
"bank",12,0.000564679309208978,0.008
"banker",3,0.000141169827302245,0.002
"banking",2,9.41132182014964e-05,0.002
"bankruptcy",12,0.000564679309208978,0.002
"banks",2,9.41132182014964e-05,0.002
"bar",3,0.000141169827302245,0.002
"barbara",5,0.000235283045503741,0.004
"barboza",5,0.000235283045503741,0.002
"barclay",2,9.41132182014964e-05,0.002
"bargain",2,9.41132182014964e-05,0.002
"barlinnie",2,9.41132182014964e-05,0.002
"baroness",2,9.41132182014964e-05,0.002
"barrier",2,9.41132182014964e-05,0.002
"bars",2,9.41132182014964e-05,0.002
"base",4,0.000188226436402993,0.004
"based",6,0.000282339654604489,0.006
"basically",2,9.41132182014964e-05,0.002
"bass",4,0.000188226436402993,0.002
"batteries",2,9.41132182014964e-05,0.002
"battery",18,0.000847018963813468,0.014
"battle",4,0.000188226436402993,0.004
"bbc",12,0.000564679309208978,0.004
"beach",2,9.41132182014964e-05,0.002
"bearer",6,0.000282339654604489,0.006
"beaten",2,9.41132182014964e-05,0.002
"beating",2,9.41132182014964e-05,0.002
"beautiful",2,9.41132182014964e-05,0.002
"beberg",36,0.00169403792762694,0.034
"bebergmithralcom",4,0.000188226436402993,0.004
"bee",4,0.000188226436402993,0.004
"beep",3,0.000141169827302245,0.002
"bees",9,0.000423509481906734,0.002
"begin",17,0.000799962354712719,0.016
"begins",2,9.41132182014964e-05,0.002
"begun",2,9.41132182014964e-05,0.002
"behalf",8,0.000376452872805986,0.008
"belfast",3,0.000141169827302245,0.002
"believe",2,9.41132182014964e-05,0.002
"believed",4,0.000188226436402993,0.004
"believes",4,0.000188226436402993,0.004
"bell",2,9.41132182014964e-05,0.002
"bells",4,0.000188226436402993,0.002
"ben",2,9.41132182014964e-05,0.002
"benchmark",2,9.41132182014964e-05,0.002
"benefit",11,0.00051762270010823,0.008
"benefits",2,9.41132182014964e-05,0.002
"berlin",2,9.41132182014964e-05,0.002
"bernard",2,9.41132182014964e-05,0.002
"betamax",7,0.000329396263705237,0.002
"bethune",4,0.000188226436402993,0.002
"bexley",2,9.41132182014964e-05,0.002
"beyond",4,0.000188226436402993,0.004
"bfar",3,0.000141169827302245,0.002
"bfont",2,9.41132182014964e-05,0.002
"bgcolor",7,0.000329396263705237,0.002
"bgcoloreeeeee",3,0.000141169827302245,0.002
"bgcolorffffcc",9,0.000423509481906734,0.002
"bgcolorffffcctd",3,0.000141169827302245,0.002
"bgcolorffffff",36,0.00169403792762694,0.002
"bgcolorfffffftd",9,0.000423509481906734,0.002
"bid",4,0.000188226436402993,0.002
"bidders",4,0.000188226436402993,0.002
"biersack",2,9.41132182014964e-05,0.002
"bigger",2,9.41132182014964e-05,0.002
"biggest",18,0.000847018963813468,0.016
"bike",2,9.41132182014964e-05,0.002
"bill",5,0.000235283045503741,0.004
"billion",27,0.0012705284457202,0.006
"binary",7,0.000329396263705237,0.004
"bind",2,9.41132182014964e-05,0.002
"birds",2,9.41132182014964e-05,0.002
"bishops",3,0.000141169827302245,0.002
"bit",12,0.000564679309208978,0.012
"bitbitchmagnesiumnet",12,0.000564679309208978,0.01
"bite",2,9.41132182014964e-05,0.002
"bits",4,0.000188226436402993,0.004
"black",6,0.000282339654604489,0.006
"blah",3,0.000141169827302245,0.002
"blair",15,0.000705849136511223,0.008
"blame",2,9.41132182014964e-05,0.002
"blamed",2,9.41132182014964e-05,0.002
"blind",5,0.000235283045503741,0.002
"bliss",4,0.000188226436402993,0.004
"bloat",2,9.41132182014964e-05,0.002
"block",4,0.000188226436402993,0.004
"blue",4,0.000188226436402993,0.004
"bluff",2,9.41132182014964e-05,0.002
"board",4,0.000188226436402993,0.002
"bob",5,0.000235283045503741,0.002
"body",4,0.000188226436402993,0.004
"bonderman",18,0.000847018963813468,0.002
"bones",2,9.41132182014964e-05,0.002
"book",14,0.000658792527410475,0.012
"books",6,0.000282339654604489,0.006
"boom",3,0.000141169827302245,0.002
"boot",3,0.000141169827302245,0.002
"bootdisk",2,9.41132182014964e-05,0.002
"booting",2,9.41132182014964e-05,0.002
"border",38,0.00178815114582843,0.002
"born",5,0.000235283045503741,0.004
"boston",23,0.00108230200931721,0.008
"bostons",2,9.41132182014964e-05,0.002
"bottom",2,9.41132182014964e-05,0.002
"bought",2,9.41132182014964e-05,0.002
"bowfinger",2,9.41132182014964e-05,0.002
"bowl",2,9.41132182014964e-05,0.002
"box",4,0.000188226436402993,0.004
"boy",15,0.000705849136511223,0.01
"boyle",4,0.000188226436402993,0.002
"bps",6,0.000282339654604489,0.004
"brain",2,9.41132182014964e-05,0.002
"branch",2,9.41132182014964e-05,0.002
"branded",4,0.000188226436402993,0.004
"braun",2,9.41132182014964e-05,0.002
"break",2,9.41132182014964e-05,0.002
"breaking",3,0.000141169827302245,0.002
"breeding",4,0.000188226436402993,0.004
"brelin",2,9.41132182014964e-05,0.002
"bring",2,9.41132182014964e-05,0.002
"britain",7,0.000329396263705237,0.004
"british",26,0.00122347183661945,0.012
"briton",2,9.41132182014964e-05,0.002
"britons",5,0.000235283045503741,0.002
"broadcast",2,9.41132182014964e-05,0.002
"bronson",10,0.000470566091007482,0.002
"bronsons",2,9.41132182014964e-05,0.002
"browser",6,0.000282339654604489,0.004
"bucharest",4,0.000188226436402993,0.002
"bucks",2,9.41132182014964e-05,0.002
"buddha",2,9.41132182014964e-05,0.002
"buffer",2,9.41132182014964e-05,0.002
"bug",4,0.000188226436402993,0.004
"bugs",4,0.000188226436402993,0.004
"build",6,0.000282339654604489,0.004
"building",8,0.000376452872805986,0.006
"built",2,9.41132182014964e-05,0.002
"bulger",3,0.000141169827302245,0.002
"bulgers",3,0.000141169827302245,0.002
"bumblebee",2,9.41132182014964e-05,0.002
"bumper",2,9.41132182014964e-05,0.002
"burger",5,0.000235283045503741,0.002
"buried",2,9.41132182014964e-05,0.002
"burnt",2,9.41132182014964e-05,0.002
"bus",2,9.41132182014964e-05,0.002
"buses",2,9.41132182014964e-05,0.002
"bush",54,0.0025410568914404,0.018
"bushs",2,9.41132182014964e-05,0.002
"business",32,0.00150581149122394,0.018
"businesses",9,0.000423509481906734,0.006
"bust",2,9.41132182014964e-05,0.002
"button",27,0.0012705284457202,0.008
"buy",12,0.000564679309208978,0.006
"buyout",3,0.000141169827302245,0.002
"buyouts",2,9.41132182014964e-05,0.002
"buys",2,9.41132182014964e-05,0.002
"bytecode",5,0.000235283045503741,0.004
"cable",20,0.000941132182014964,0.008
"cables",2,9.41132182014964e-05,0.002
"cablevision",4,0.000188226436402993,0.002
"cache",2,9.41132182014964e-05,0.002
"caesarean",2,9.41132182014964e-05,0.002
"cafe",2,9.41132182014964e-05,0.002
"california",6,0.000282339654604489,0.006
"call",7,0.000329396263705237,0.006
"called",19,0.000894075572914216,0.016
"calling",3,0.000141169827302245,0.002
"calls",14,0.000658792527410475,0.01
"camargo",2,9.41132182014964e-05,0.002
"cambodia",4,0.000188226436402993,0.002
"camden",2,9.41132182014964e-05,0.002
"camera",13,0.000611735918309727,0.01
"cameras",13,0.000611735918309727,0.008
"campaign",6,0.000282339654604489,0.004
"campaigners",6,0.000282339654604489,0.006
"campbell",4,0.000188226436402993,0.004
"canada",13,0.000611735918309727,0.01
"canbt",2,9.41132182014964e-05,0.002
"cancer",5,0.000235283045503741,0.002
"candidate",2,9.41132182014964e-05,0.002
"candidates",6,0.000282339654604489,0.002
"cant",33,0.00155286810032469,0.024
"canterbury",3,0.000141169827302245,0.002
"capabilities",2,9.41132182014964e-05,0.002
"capacitor",8,0.000376452872805986,0.004
"capacitors",8,0.000376452872805986,0.004
"cape",3,0.000141169827302245,0.002
"capital",6,0.000282339654604489,0.004
"caprivi",2,9.41132182014964e-05,0.002
"capslock",2,9.41132182014964e-05,0.002
"caption",3,0.000141169827302245,0.002
"captured",2,9.41132182014964e-05,0.002
"car",7,0.000329396263705237,0.004
"carbon",2,9.41132182014964e-05,0.002
"carbonara",3,0.000141169827302245,0.002
"card",16,0.000752905745611971,0.012
"cards",2,9.41132182014964e-05,0.002
"care",11,0.00051762270010823,0.01
"career",2,9.41132182014964e-05,0.002
"cares",9,0.000423509481906734,0.008
"cargo",2,9.41132182014964e-05,0.002
"carlin",2,9.41132182014964e-05,0.002
"carmack",2,9.41132182014964e-05,0.002
"carnegie",4,0.000188226436402993,0.002
"carol",2,9.41132182014964e-05,0.002
"carpet",3,0.000141169827302245,0.002
"carriers",10,0.000470566091007482,0.008
"cars",2,9.41132182014964e-05,0.002
"cash",12,0.000564679309208978,0.006
"casiraghi",6,0.000282339654604489,0.004
"cat",22,0.00103524540021646,0.008
"catch",3,0.000141169827302245,0.002
"category",6,0.000282339654604489,0.006
"cats",18,0.000847018963813468,0.006
"cause",5,0.000235283045503741,0.004
"caused",2,9.41132182014964e-05,0.002
"cdale",4,0.000188226436402993,0.004
"cdcc",4,0.000188226436402993,0.002
"cdrom",5,0.000235283045503741,0.004
"cds",5,0.000235283045503741,0.002
"ceiling",3,0.000141169827302245,0.002
"celebrity",2,9.41132182014964e-05,0.002
"cellpadding",36,0.00169403792762694,0.002
"cellspacing",36,0.00169403792762694,0.002
"cellular",2,9.41132182014964e-05,0.002
"censor",2,9.41132182014964e-05,0.002
"cent",5,0.000235283045503741,0.004
"center",4,0.000188226436402993,0.002
"centimetres",2,9.41132182014964e-05,0.002
"central",2,9.41132182014964e-05,0.002
"centralization",2,9.41132182014964e-05,0.002
"centralized",2,9.41132182014964e-05,0.002
"cents",2,9.41132182014964e-05,0.002
"century",9,0.000423509481906734,0.008
"certificate",2,9.41132182014964e-05,0.002
"certificates",2,9.41132182014964e-05,0.002
"chair",2,9.41132182014964e-05,0.002
"chairman",15,0.000705849136511223,0.004
"chairmans",2,9.41132182014964e-05,0.002
"chairmanship",2,9.41132182014964e-05,0.002
"challenge",2,9.41132182014964e-05,0.002
"chance",4,0.000188226436402993,0.002
"change",29,0.0013646416639217,0.024
"changed",4,0.000188226436402993,0.004
"changes",8,0.000376452872805986,0.006
"chao",2,9.41132182014964e-05,0.002
"chaplain",2,9.41132182014964e-05,0.002
"chaplains",4,0.000188226436402993,0.002
"chapman",6,0.000282339654604489,0.002
"charges",4,0.000188226436402993,0.004
"charity",2,9.41132182014964e-05,0.002
"charles",2,9.41132182014964e-05,0.002
"charlton",2,9.41132182014964e-05,0.002
"charsetiso",5,0.000235283045503741,0.004
"charsetusascii",2,9.41132182014964e-05,0.002
"charsetwindows",2,9.41132182014964e-05,0.002
"chastity",3,0.000141169827302245,0.002
"cheap",9,0.000423509481906734,0.006
"cheaper",4,0.000188226436402993,0.004
"cheapside",2,9.41132182014964e-05,0.002
"check",7,0.000329396263705237,0.004
"checked",2,9.41132182014964e-05,0.002
"checkinstall",2,9.41132182014964e-05,0.002
"checkout",2,9.41132182014964e-05,0.002
"cheer",2,9.41132182014964e-05,0.002
"cheerful",2,9.41132182014964e-05,0.002
"chelsea",2,9.41132182014964e-05,0.002
"chemistry",6,0.000282339654604489,0.006
"chiames",2,9.41132182014964e-05,0.002
"chicks",2,9.41132182014964e-05,0.002
"chief",13,0.000611735918309727,0.002
"chiefs",6,0.000282339654604489,0.006
"child",12,0.000564679309208978,0.008
"chinatown",2,9.41132182014964e-05,0.002
"chip",2,9.41132182014964e-05,0.002
"choice",2,9.41132182014964e-05,0.002
"chosen",2,9.41132182014964e-05,0.002
"chris",17,0.000799962354712719,0.012
"christian",2,9.41132182014964e-05,0.002
"christmas",4,0.000188226436402993,0.002
"chronicle",3,0.000141169827302245,0.002
"chuck",2,9.41132182014964e-05,0.002
"church",8,0.000376452872805986,0.002
"ciaran",5,0.000235283045503741,0.002
"cindy",2,9.41132182014964e-05,0.002
"cipe",5,0.000235283045503741,0.002
"circle",4,0.000188226436402993,0.002
"circles",5,0.000235283045503741,0.002
"citizens",4,0.000188226436402993,0.004
"city",2,9.41132182014964e-05,0.002
"civil",8,0.000376452872805986,0.004
"civilization",2,9.41132182014964e-05,0.002
"claim",8,0.000376452872805986,0.008
"claims",3,0.000141169827302245,0.002
"clark",4,0.000188226436402993,0.004
"class",2,9.41132182014964e-05,0.002
"classacontentsarticletitle",3,0.000141169827302245,0.002
"classafootertellafriend",2,9.41132182014964e-05,0.002
"classes",2,9.41132182014964e-05,0.002
"classical",6,0.000282339654604489,0.006
"clause",10,0.000470566091007482,0.002
"clauses",3,0.000141169827302245,0.002
"clavez",2,9.41132182014964e-05,0.002
"clean",3,0.000141169827302245,0.002
"cleanerburning",2,9.41132182014964e-05,0.002
"clecs",3,0.000141169827302245,0.002
"client",13,0.000611735918309727,0.01
"clients",12,0.000564679309208978,0.008
"clinton",7,0.000329396263705237,0.002
"close",7,0.000329396263705237,0.006
"closed",2,9.41132182014964e-05,0.002
"closer",2,9.41132182014964e-05,0.002
"clue",6,0.000282339654604489,0.006
"cmd",6,0.000282339654604489,0.002
"cmdrtaco",2,9.41132182014964e-05,0.002
"cnet",3,0.000141169827302245,0.002
"coast",8,0.000376452872805986,0.006
"cockney",2,9.41132182014964e-05,0.002
"code",52,0.00244694367323891,0.028
"codec",11,0.00051762270010823,0.002
"codecs",2,9.41132182014964e-05,0.002
"codes",3,0.000141169827302245,0.002
"coercion",2,9.41132182014964e-05,0.002
"cognitive",2,9.41132182014964e-05,0.002
"coincidence",2,9.41132182014964e-05,0.002
"coined",2,9.41132182014964e-05,0.002
"cold",2,9.41132182014964e-05,0.002
"colin",4,0.000188226436402993,0.004
"collaboration",2,9.41132182014964e-05,0.002
"collapse",2,9.41132182014964e-05,0.002
"colleague",2,9.41132182014964e-05,0.002
"collected",6,0.000282339654604489,0.006
"collection",4,0.000188226436402993,0.004
"college",13,0.000611735918309727,0.008
"colleges",2,9.41132182014964e-05,0.002
"collins",2,9.41132182014964e-05,0.002
"collision",2,9.41132182014964e-05,0.002
"cologne",2,9.41132182014964e-05,0.002
"colony",3,0.000141169827302245,0.002
"color",3,0.000141169827302245,0.002
"colorffffffb",2,9.41132182014964e-05,0.002
"colours",2,9.41132182014964e-05,0.002
"cols",3,0.000141169827302245,0.002
"column",8,0.000376452872805986,0.006
"comcast",2,9.41132182014964e-05,0.002
"comes",4,0.000188226436402993,0.004
"coming",2,9.41132182014964e-05,0.002
"command",13,0.000611735918309727,0.01
"commandment",4,0.000188226436402993,0.004
"commandments",4,0.000188226436402993,0.004
"commands",6,0.000282339654604489,0.004
"commenced",2,9.41132182014964e-05,0.002
"commerce",2,9.41132182014964e-05,0.002
"commercial",5,0.000235283045503741,0.004
"commission",14,0.000658792527410475,0.002
"commissioner",4,0.000188226436402993,0.002
"commissioners",2,9.41132182014964e-05,0.002
"commissions",4,0.000188226436402993,0.002
"commit",2,9.41132182014964e-05,0.002
"committee",2,9.41132182014964e-05,0.002
"committees",4,0.000188226436402993,0.004
"common",4,0.000188226436402993,0.004
"communicate",2,9.41132182014964e-05,0.002
"communication",3,0.000141169827302245,0.002
"communications",28,0.00131758505482095,0.012
"community",6,0.000282339654604489,0.006
"companies",78,0.00367041550985836,0.018
"companionship",8,0.000376452872805986,0.008
"company",58,0.0027292833278434,0.032
"companys",4,0.000188226436402993,0.004
"compared",4,0.000188226436402993,0.002
"compat",2,9.41132182014964e-05,0.002
"compatible",2,9.41132182014964e-05,0.002
"compensation",2,9.41132182014964e-05,0.002
"compete",2,9.41132182014964e-05,0.002
"competing",2,9.41132182014964e-05,0.002
"competition",5,0.000235283045503741,0.002
"competitive",2,9.41132182014964e-05,0.002
"competitors",3,0.000141169827302245,0.002
"compilation",2,9.41132182014964e-05,0.002
"compile",3,0.000141169827302245,0.002
"compilers",2,9.41132182014964e-05,0.002
"complained",4,0.000188226436402993,0.004
"complaint",2,9.41132182014964e-05,0.002
"completion",4,0.000188226436402993,0.004
"complicated",2,9.41132182014964e-05,0.002
"component",2,9.41132182014964e-05,0.002
"components",4,0.000188226436402993,0.004
"computer",20,0.000941132182014964,0.004
"computers",2,9.41132182014964e-05,0.002
"computing",4,0.000188226436402993,0.002
"con",6,0.000282339654604489,0.002
"concentrated",2,9.41132182014964e-05,0.002
"concentration",8,0.000376452872805986,0.002
"concept",5,0.000235283045503741,0.004
"concerned",2,9.41132182014964e-05,0.002
"concerns",8,0.000376452872805986,0.008
