"Date","Stock","Close"
2010-10-21,"DTE",46.99
2010-10-20,"DTE",47.28
2010-10-19,"DTE",46.9
2010-10-18,"DTE",47.27
2010-10-15,"DTE",47.11
2010-10-14,"DTE",46.88
2010-10-13,"DTE",47.09
2010-10-12,"DTE",46.98
2010-10-11,"DTE",47.44
2010-10-08,"DTE",47.22
2010-10-07,"DTE",46.83
2010-10-06,"DTE",46.86
2010-10-05,"DTE",47.01
2010-10-04,"DTE",46.34
2010-10-01,"DTE",46.48
2010-09-30,"DTE",45.93
2010-09-29,"DTE",46.16
2010-09-28,"DTE",45.98
2010-09-27,"DTE",46.01
2010-09-24,"DTE",45.84
2010-09-23,"DTE",45.47
2010-09-22,"DTE",46.12
2010-09-21,"DTE",45.99
2010-09-20,"DTE",46.55
2010-09-17,"DTE",46.31
2010-09-16,"DTE",46.69
2010-09-15,"DTE",48.19
2010-09-14,"DTE",48.25
2010-09-13,"DTE",47.84
2010-09-10,"DTE",47.47
2010-09-09,"DTE",47.1
2010-09-08,"DTE",46.95
2010-09-07,"DTE",47.18
2010-09-03,"DTE",47.54
2010-09-02,"DTE",47.43
2010-09-01,"DTE",47.83
2010-08-31,"DTE",46.85
2010-08-30,"DTE",46.62
2010-08-27,"DTE",47.13
2010-08-26,"DTE",46.14
2010-08-25,"DTE",46.16
2010-08-24,"DTE",46.15
2010-08-23,"DTE",46.16
2010-08-20,"DTE",45.91
2010-08-19,"DTE",45.86
2010-08-18,"DTE",46.44
2010-08-17,"DTE",46.61
2010-08-16,"DTE",46.41
2010-08-13,"DTE",46.21
2010-08-12,"DTE",46.18
2010-08-11,"DTE",46.23
2010-08-10,"DTE",47.27
2010-08-09,"DTE",47.33
2010-08-06,"DTE",46.83
2010-08-05,"DTE",46.79
2010-08-04,"DTE",46.45
2010-08-03,"DTE",46.28
2010-08-02,"DTE",46.52
2010-07-30,"DTE",46.16
2010-07-29,"DTE",48.16
2010-07-28,"DTE",48.67
2010-07-27,"DTE",48.97
2010-07-26,"DTE",48.39
2010-07-23,"DTE",48.06
2010-07-22,"DTE",47.7
2010-07-21,"DTE",46.83
2010-07-20,"DTE",47.76
2010-07-19,"DTE",47.68
2010-07-16,"DTE",47.13
2010-07-15,"DTE",48.24
2010-07-14,"DTE",47.92
2010-07-13,"DTE",48.11
2010-07-12,"DTE",47.67
2010-07-09,"DTE",47.73
2010-07-08,"DTE",47.4
2010-07-07,"DTE",47.35
2010-07-06,"DTE",45.92
2010-07-02,"DTE",45.47
2010-07-01,"DTE",45.08
2010-06-30,"DTE",45.61
2010-06-29,"DTE",45.62
2010-06-28,"DTE",46.79
2010-06-25,"DTE",46.53
2010-06-24,"DTE",46.52
2010-06-23,"DTE",46.51
2010-06-22,"DTE",47.01
2010-06-21,"DTE",48.03
2010-06-18,"DTE",48.35
2010-06-17,"DTE",48.35
2010-06-16,"DTE",48.24
2010-06-15,"DTE",47.76
2010-06-14,"DTE",46.5
2010-06-11,"DTE",46.09
2010-06-10,"DTE",46.14
2010-06-09,"DTE",45.12
2010-06-08,"DTE",45.07
2010-06-07,"DTE",44.45
2010-06-04,"DTE",44.42
2010-06-03,"DTE",45.9
2010-06-02,"DTE",45.62
2010-06-01,"DTE",44.91
2010-05-28,"DTE",45.51
2010-05-27,"DTE",45.49
2010-05-26,"DTE",44.54
2010-05-25,"DTE",44.74
2010-05-24,"DTE",44.86
2010-05-21,"DTE",45.39
2010-05-20,"DTE",45.1
2010-05-19,"DTE",46.49
2010-05-18,"DTE",47.17
2010-05-17,"DTE",47.6
2010-05-14,"DTE",47.3
2010-05-13,"DTE",47.79
2010-05-12,"DTE",47.95
2010-05-11,"DTE",47.72
2010-05-10,"DTE",47.4
2010-05-07,"DTE",45.69
2010-05-06,"DTE",46.55
2010-05-05,"DTE",47.64
2010-05-04,"DTE",48.14
2010-05-03,"DTE",48.91
2010-04-30,"DTE",48.17
2010-04-29,"DTE",48.07
2010-04-28,"DTE",48.29
2010-04-27,"DTE",46.87
2010-04-26,"DTE",47.55
2010-04-23,"DTE",47.93
2010-04-22,"DTE",47.26
2010-04-21,"DTE",46.82
2010-04-20,"DTE",46.21
2010-04-19,"DTE",45.9
2010-04-16,"DTE",45.64
2010-04-15,"DTE",46.12
2010-04-14,"DTE",45.99
2010-04-13,"DTE",46.03
2010-04-12,"DTE",46.25
2010-04-09,"DTE",46.12
2010-04-08,"DTE",45.88
2010-04-07,"DTE",46.12
2010-04-06,"DTE",46.48
2010-04-05,"DTE",45.75
2010-04-01,"DTE",45.38
2010-03-31,"DTE",44.6
2010-03-30,"DTE",45.2
2010-03-29,"DTE",45.38
2010-03-26,"DTE",44.7
2010-03-25,"DTE",44.69
2010-03-24,"DTE",45.04
2010-03-23,"DTE",45.28
2010-03-22,"DTE",44.96
2010-03-19,"DTE",45.1
2010-03-18,"DTE",45.14
2010-03-17,"DTE",45.82
2010-03-16,"DTE",45.61
2010-03-15,"DTE",45.06
2010-03-12,"DTE",44.87
2010-03-11,"DTE",44.91
2010-03-10,"DTE",44.81
2010-03-09,"DTE",44.94
2010-03-08,"DTE",44.84
2010-03-05,"DTE",45.04
2010-03-04,"DTE",44.7
2010-03-03,"DTE",44.59
2010-03-02,"DTE",44.65
2010-03-01,"DTE",44.31
2010-02-26,"DTE",43.42
2010-02-25,"DTE",43.95
2010-02-24,"DTE",44.26
2010-02-23,"DTE",43.99
2010-02-22,"DTE",44.62
2010-02-19,"DTE",44.6
2010-02-18,"DTE",43.59
2010-02-17,"DTE",42.88
2010-02-16,"DTE",43.07
2010-02-12,"DTE",41.95
2010-02-11,"DTE",42.33
2010-02-10,"DTE",41.95
2010-02-09,"DTE",42
2010-02-08,"DTE",41.5
2010-02-05,"DTE",41.78
2010-02-04,"DTE",41.75
2010-02-03,"DTE",42.68
2010-02-02,"DTE",43.03
2010-02-01,"DTE",42.61
2010-01-29,"DTE",42.04
2010-01-28,"DTE",42.4
2010-01-27,"DTE",42.75
2010-01-26,"DTE",43.04
2010-01-25,"DTE",42.66
2010-01-22,"DTE",42.06
2010-01-21,"DTE",42.85
2010-01-20,"DTE",43.88
2010-01-19,"DTE",44.33
2010-01-15,"DTE",43.93
2010-01-14,"DTE",44.29
2010-01-13,"DTE",44.12
2010-01-12,"DTE",43.73
2010-01-11,"DTE",43.77
2010-01-08,"DTE",43.16
2010-01-07,"DTE",42.83
2010-01-06,"DTE",43.23
2010-01-05,"DTE",43.05
2010-01-04,"DTE",43.54
2009-12-31,"DTE",43.59
2009-12-30,"DTE",44.35
2009-12-29,"DTE",44.6
2009-12-28,"DTE",44.64
2009-12-24,"DTE",44.57
2009-12-23,"DTE",43.93
2009-12-22,"DTE",43.37
2009-12-21,"DTE",43.3
2009-12-18,"DTE",42.98
2009-12-17,"DTE",42.48
2009-12-16,"DTE",43.81
2009-12-15,"DTE",43.94
2009-12-14,"DTE",44.17
2009-12-11,"DTE",43.95
2009-12-10,"DTE",43.21
2009-12-09,"DTE",42.75
2009-12-08,"DTE",42.61
2009-12-07,"DTE",42.64
2009-12-04,"DTE",42.17
2009-12-03,"DTE",42.12
2009-12-02,"DTE",41.88
2009-12-01,"DTE",41
2009-11-30,"DTE",40.11
2009-11-27,"DTE",39.83
2009-11-25,"DTE",40.59
2009-11-24,"DTE",40.27
2009-11-23,"DTE",40.14
2009-11-20,"DTE",39.68
2009-11-19,"DTE",39.85
2009-11-18,"DTE",40.27
2009-11-17,"DTE",40.21
2009-11-16,"DTE",40.2
2009-11-13,"DTE",39.68
2009-11-12,"DTE",39.45
2009-11-11,"DTE",39.51
2009-11-10,"DTE",39.29
2009-11-09,"DTE",39.19
2009-11-06,"DTE",38.34
2009-11-05,"DTE",38.54
2009-11-04,"DTE",37.73
2009-11-03,"DTE",37.59
2009-11-02,"DTE",37.05
2009-10-30,"DTE",36.98
2009-10-29,"DTE",38.48
2009-10-28,"DTE",37.61
2009-10-27,"DTE",37.93
2009-10-26,"DTE",37.55
2009-10-23,"DTE",37.85
2009-10-22,"DTE",38.61
2009-10-21,"DTE",38.6
2009-10-20,"DTE",38.66
2009-10-19,"DTE",37.9
2009-10-16,"DTE",36.53
2009-10-15,"DTE",36.33
2009-10-14,"DTE",35.96
2009-10-13,"DTE",35.68
2009-10-12,"DTE",35.51
2009-10-09,"DTE",35.12
2009-10-08,"DTE",34.88
2009-10-07,"DTE",34.78
2009-10-06,"DTE",34.57
2009-10-05,"DTE",34.22
2009-10-02,"DTE",34.04
2009-10-01,"DTE",34.76
2009-09-30,"DTE",35.14
2009-09-29,"DTE",35.58
2009-09-28,"DTE",35.42
2009-09-25,"DTE",35.03
2009-09-24,"DTE",35.12
2009-09-23,"DTE",34.98
2009-09-22,"DTE",34.7
2009-09-21,"DTE",35.17
2009-09-18,"DTE",35.25
2009-09-17,"DTE",35.34
2009-09-16,"DTE",36.4
2009-09-15,"DTE",35.89
2009-09-14,"DTE",35.73
2009-09-11,"DTE",35.12
2009-09-10,"DTE",35.32
2009-09-09,"DTE",35.03
2009-09-08,"DTE",34.95
2009-09-04,"DTE",34.88
2009-09-03,"DTE",34.63
2009-09-02,"DTE",34.18
2009-09-01,"DTE",34.43
2009-08-31,"DTE",34.78
2009-08-28,"DTE",35.05
2009-08-27,"DTE",35.22
2009-08-26,"DTE",35.4
2009-08-25,"DTE",35.42
2009-08-24,"DTE",35.35
2009-08-21,"DTE",35.34
2009-08-20,"DTE",34.78
2009-08-19,"DTE",34.71
2009-08-18,"DTE",34
2009-08-17,"DTE",33.97
2009-08-14,"DTE",34.11
2009-08-13,"DTE",33.94
2009-08-12,"DTE",34.06
2009-08-11,"DTE",34.12
2009-08-10,"DTE",34.24
2009-08-07,"DTE",34.42
2009-08-06,"DTE",33.83
2009-08-05,"DTE",33.91
2009-08-04,"DTE",34.22
2009-08-03,"DTE",34.24
2009-07-31,"DTE",34.46
2009-07-30,"DTE",35.08
2009-07-29,"DTE",34.32
2009-07-28,"DTE",34.63
2009-07-27,"DTE",34.95
2009-07-24,"DTE",34.7
2009-07-23,"DTE",34.03
2009-07-22,"DTE",33.05
2009-07-21,"DTE",33.08
2009-07-20,"DTE",32.78
2009-07-17,"DTE",32.61
2009-07-16,"DTE",32.73
2009-07-15,"DTE",32.58
2009-07-14,"DTE",31.85
2009-07-13,"DTE",31.49
2009-07-10,"DTE",30.86
2009-07-09,"DTE",31.24
2009-07-08,"DTE",31.23
2009-07-07,"DTE",31.36
2009-07-06,"DTE",32.22
2009-07-02,"DTE",30.74
2009-07-01,"DTE",32.52
2009-06-30,"DTE",32
2009-06-29,"DTE",32.41
2009-06-26,"DTE",31.96
2009-06-25,"DTE",31.89
2009-06-24,"DTE",31.14
2009-06-23,"DTE",30.83
2009-06-22,"DTE",31.43
2009-06-19,"DTE",31.3
2009-06-18,"DTE",31.92
2009-06-17,"DTE",31.35
2009-06-16,"DTE",31.17
2009-06-15,"DTE",31.24
2009-06-12,"DTE",31.96
2009-06-11,"DTE",31.53
2009-06-10,"DTE",31.33
2009-06-09,"DTE",30.9
2009-06-08,"DTE",31.22
2009-06-05,"DTE",31.51
2009-06-04,"DTE",31.25
2009-06-03,"DTE",30.94
2009-06-02,"DTE",31.28
2009-06-01,"DTE",31.56
2009-05-29,"DTE",30.25
2009-05-28,"DTE",30.24
2009-05-27,"DTE",29.34
2009-05-26,"DTE",30.12
2009-05-22,"DTE",29.13
2009-05-21,"DTE",29.02
2009-05-20,"DTE",29.53
2009-05-19,"DTE",30.06
2009-05-18,"DTE",29.67
2009-05-15,"DTE",29.44
2009-05-14,"DTE",29.92
2009-05-13,"DTE",30.1
2009-05-12,"DTE",31.08
2009-05-11,"DTE",31.09
2009-05-08,"DTE",31.65
2009-05-07,"DTE",31.29
2009-05-06,"DTE",30.94
2009-05-05,"DTE",30.8
2009-05-04,"DTE",30.41
2009-05-01,"DTE",30.47
2009-04-30,"DTE",29.57
2009-04-29,"DTE",28.6
2009-04-28,"DTE",28.11
2009-04-27,"DTE",28.31
2009-04-24,"DTE",27.95
2009-04-23,"DTE",27.93
2009-04-22,"DTE",28.06
2009-04-21,"DTE",28.42
2009-04-20,"DTE",28.83
2009-04-17,"DTE",29.04
2009-04-16,"DTE",28.98
2009-04-15,"DTE",28.8
2009-04-14,"DTE",28.31
2009-04-13,"DTE",28.63
2009-04-09,"DTE",28.87
2009-04-08,"DTE",28.59
2009-04-07,"DTE",28.18
2009-04-06,"DTE",28.68
2009-04-03,"DTE",28.54
2009-04-02,"DTE",28.34
2009-04-01,"DTE",27.79
2009-03-31,"DTE",27.7
2009-03-30,"DTE",27.63
2009-03-27,"DTE",28.27
2009-03-26,"DTE",28.63
2009-03-25,"DTE",28.31
2009-03-24,"DTE",27.97
2009-03-23,"DTE",28.61
2009-03-20,"DTE",27.2
2009-03-19,"DTE",27.3
2009-03-18,"DTE",26.92
2009-03-17,"DTE",26.02
2009-03-16,"DTE",25.99
2009-03-13,"DTE",25.54
2009-03-12,"DTE",25.26
2009-03-11,"DTE",25.37
2009-03-10,"DTE",24.46
2009-03-09,"DTE",23.61
2009-03-06,"DTE",24.05
2009-03-05,"DTE",23.63
2009-03-04,"DTE",24.81
2009-03-03,"DTE",24.07
2009-03-02,"DTE",25.36
2009-02-27,"DTE",26.77
2009-02-26,"DTE",27.7
2009-02-25,"DTE",28.5
2009-02-24,"DTE",29.22
2009-02-23,"DTE",28.7
2009-02-20,"DTE",29.37
2009-02-19,"DTE",30.17
2009-02-18,"DTE",30.54
2009-02-17,"DTE",30.73
2009-02-13,"DTE",32.63
2009-02-12,"DTE",32.78
2009-02-11,"DTE",33.2
2009-02-10,"DTE",33.48
2009-02-09,"DTE",34.88
2009-02-06,"DTE",34.96
2009-02-05,"DTE",34.7
2009-02-04,"DTE",34.52
2009-02-03,"DTE",34.38
2009-02-02,"DTE",34.55
2009-01-30,"DTE",34.5
2009-01-29,"DTE",34.93
2009-01-28,"DTE",35.5
2009-01-27,"DTE",35.31
2009-01-26,"DTE",34.47
2009-01-23,"DTE",33.72
2009-01-22,"DTE",34.3
2009-01-21,"DTE",34.27
2009-01-20,"DTE",34.11
2009-01-16,"DTE",34.75
2009-01-15,"DTE",34.3
2009-01-14,"DTE",34.16
2009-01-13,"DTE",34.73
2009-01-12,"DTE",35.75
2009-01-09,"DTE",35.6
2009-01-08,"DTE",35.8
2009-01-07,"DTE",35.7
2009-01-06,"DTE",36.25
2009-01-05,"DTE",36.58
2009-01-02,"DTE",36.21
2008-12-31,"DTE",35.67
2008-12-30,"DTE",35.79
2008-12-29,"DTE",35.45
2008-12-26,"DTE",35.18
2008-12-24,"DTE",34.99
2008-12-23,"DTE",34.83
2008-12-22,"DTE",35
2008-12-19,"DTE",34.79
2008-12-18,"DTE",34.67
2008-12-17,"DTE",34.53
2008-12-16,"DTE",35.29
2008-12-15,"DTE",34.03
2008-12-12,"DTE",34.44
2008-12-11,"DTE",34.41
2008-12-10,"DTE",35.17
2008-12-09,"DTE",34.61
2008-12-08,"DTE",34.61
2008-12-05,"DTE",34.14
2008-12-04,"DTE",33.61
2008-12-03,"DTE",36.07
2008-12-02,"DTE",35.65
2008-12-01,"DTE",34.94
2008-11-28,"DTE",37.19
2008-11-26,"DTE",36.36
2008-11-25,"DTE",36.15
2008-11-24,"DTE",35.85
2008-11-21,"DTE",36.73
2008-11-20,"DTE",33.6
2008-11-19,"DTE",35.2
2008-11-18,"DTE",36.31
2008-11-17,"DTE",36.23
2008-11-14,"DTE",36.77
2008-11-13,"DTE",37.88
2008-11-12,"DTE",35.05
2008-11-11,"DTE",36.07
2008-11-10,"DTE",36.46
2008-11-07,"DTE",37.91
2008-11-06,"DTE",35.52
2008-11-05,"DTE",36.92
2008-11-04,"DTE",38.11
2008-11-03,"DTE",38.02
2008-10-31,"DTE",35.3
2008-10-30,"DTE",36.57
2008-10-29,"DTE",34.88
2008-10-28,"DTE",36.57
2008-10-27,"DTE",32.37
2008-10-24,"DTE",33.01
2008-10-23,"DTE",33.91
2008-10-22,"DTE",33.48
2008-10-21,"DTE",34.8
2008-10-20,"DTE",36.29
2008-10-17,"DTE",33.68
2008-10-16,"DTE",33.71
2008-10-15,"DTE",32.44
2008-10-14,"DTE",34.51
2008-10-13,"DTE",33.85
2008-10-10,"DTE",30.42
2008-10-09,"DTE",32
2008-10-08,"DTE",35.11
2008-10-07,"DTE",36.15
2008-10-06,"DTE",37.53
2008-10-03,"DTE",39.42
2008-10-02,"DTE",40
2008-10-01,"DTE",40.71
2008-09-30,"DTE",40.12
2008-09-29,"DTE",39.41
2008-09-26,"DTE",40.77
2008-09-25,"DTE",41.1
2008-09-24,"DTE",40.83
2008-09-23,"DTE",40.61
2008-09-22,"DTE",41.33
2008-09-19,"DTE",42.33
2008-09-18,"DTE",42.05
2008-09-17,"DTE",41.1
2008-09-16,"DTE",42.65
2008-09-15,"DTE",43
2008-09-12,"DTE",43.64
2008-09-11,"DTE",43.42
2008-09-10,"DTE",43.52
2008-09-09,"DTE",43.17
2008-09-08,"DTE",43.11
2008-09-05,"DTE",41.44
2008-09-04,"DTE",41.63
2008-09-03,"DTE",41.69
2008-09-02,"DTE",41.8
2008-08-29,"DTE",42.16
2008-08-28,"DTE",42.69
2008-08-27,"DTE",42.48
2008-08-26,"DTE",41.92
2008-08-25,"DTE",41.85
2008-08-22,"DTE",42.49
2008-08-21,"DTE",42.08
2008-08-20,"DTE",42.05
2008-08-19,"DTE",42.19
2008-08-18,"DTE",42.3
2008-08-15,"DTE",41.7
2008-08-14,"DTE",41.27
2008-08-13,"DTE",41.45
2008-08-12,"DTE",41.22
2008-08-11,"DTE",41.35
2008-08-08,"DTE",40.98
2008-08-07,"DTE",40.19
2008-08-06,"DTE",40.66
2008-08-05,"DTE",40.93
2008-08-04,"DTE",39.69
2008-08-01,"DTE",39.81
2008-07-31,"DTE",40.98
2008-07-30,"DTE",41.55
2008-07-29,"DTE",41.07
2008-07-28,"DTE",40.99
2008-07-25,"DTE",41.03
2008-07-24,"DTE",41.32
2008-07-23,"DTE",41.28
2008-07-22,"DTE",42.01
2008-07-21,"DTE",42.21
2008-07-18,"DTE",41.92
2008-07-17,"DTE",41.76
2008-07-16,"DTE",42.29
2008-07-15,"DTE",43.02
2008-07-14,"DTE",43.13
2008-07-11,"DTE",43.71
2008-07-10,"DTE",44.38
2008-07-09,"DTE",44.43
2008-07-08,"DTE",43.75
2008-07-07,"DTE",42.88
2008-07-03,"DTE",42.71
2008-07-02,"DTE",43.2
2008-07-01,"DTE",42.82
2008-06-30,"DTE",42.44
2008-06-27,"DTE",41.45
2008-06-26,"DTE",42.29
2008-06-25,"DTE",43.69
2008-06-24,"DTE",43.03
2008-06-23,"DTE",43.22
2008-06-20,"DTE",42.99
2008-06-19,"DTE",43.85
2008-06-18,"DTE",43.78
2008-06-17,"DTE",44.04
2008-06-16,"DTE",43.71
2008-06-13,"DTE",44.11
2008-06-12,"DTE",43.53
2008-06-11,"DTE",43.88
2008-06-10,"DTE",44.42
2008-06-09,"DTE",44.36
2008-06-06,"DTE",43.54
2008-06-05,"DTE",44.55
2008-06-04,"DTE",44.51
2008-06-03,"DTE",43.87
2008-06-02,"DTE",43.55
2008-05-30,"DTE",44.24
2008-05-29,"DTE",44.52
2008-05-28,"DTE",44.24
2008-05-27,"DTE",43.74
2008-05-23,"DTE",43.5
2008-05-22,"DTE",44.14
2008-05-21,"DTE",43.66
2008-05-20,"DTE",43.82
2008-05-19,"DTE",44.3
2008-05-16,"DTE",43.83
2008-05-15,"DTE",43.77
2008-05-14,"DTE",43.66
2008-05-13,"DTE",42.91
2008-05-12,"DTE",42.85
2008-05-09,"DTE",42.49
2008-05-08,"DTE",42.4
2008-05-07,"DTE",42.14
2008-05-06,"DTE",42.07
2008-05-05,"DTE",41.72
2008-05-02,"DTE",41.35
2008-05-01,"DTE",41.44
2008-04-30,"DTE",40.31
2008-04-29,"DTE",40.56
2008-04-28,"DTE",40.92
2008-04-25,"DTE",41.04
2008-04-24,"DTE",41.08
2008-04-23,"DTE",41.49
2008-04-22,"DTE",41.45
2008-04-21,"DTE",41.9
2008-04-18,"DTE",42.57
2008-04-17,"DTE",42.3
2008-04-16,"DTE",42.36
2008-04-15,"DTE",41.55
2008-04-14,"DTE",41.08
2008-04-11,"DTE",40.66
2008-04-10,"DTE",40.44
2008-04-09,"DTE",40.2
2008-04-08,"DTE",39.99
2008-04-07,"DTE",40.47
2008-04-04,"DTE",40.59
2008-04-03,"DTE",40.22
2008-04-02,"DTE",40.19
2008-04-01,"DTE",39.77
2008-03-31,"DTE",38.89
2008-03-28,"DTE",38.71
2008-03-27,"DTE",39.13
2008-03-26,"DTE",38.87
2008-03-25,"DTE",38.85
2008-03-24,"DTE",39.01
2008-03-20,"DTE",39.21
2008-03-19,"DTE",38.82
2008-03-18,"DTE",39.5
2008-03-17,"DTE",38.79
2008-03-14,"DTE",39.27
2008-03-13,"DTE",39.8
2008-03-12,"DTE",40.06
2008-03-11,"DTE",40.76
2008-03-10,"DTE",39.45
2008-03-07,"DTE",39.52
2008-03-06,"DTE",39.55
2008-03-05,"DTE",40.66
2008-03-04,"DTE",40.71
2008-03-03,"DTE",40.19
2008-02-29,"DTE",39.81
2008-02-28,"DTE",41.4
2008-02-27,"DTE",41.2
2008-02-26,"DTE",42.05
2008-02-25,"DTE",41.79
2008-02-22,"DTE",41.69
2008-02-21,"DTE",42.59
2008-02-20,"DTE",42.4
2008-02-19,"DTE",42.4
2008-02-15,"DTE",41.77
2008-02-14,"DTE",41.4
2008-02-13,"DTE",41.73
2008-02-12,"DTE",42.18
2008-02-11,"DTE",41.89
2008-02-08,"DTE",41.86
2008-02-07,"DTE",41.77
2008-02-06,"DTE",42.62
2008-02-05,"DTE",42.45
2008-02-04,"DTE",43.9
2008-02-01,"DTE",43.59
2008-01-31,"DTE",42.63
2008-01-30,"DTE",41.92
2008-01-29,"DTE",41.89
2008-01-28,"DTE",41.97
2008-01-25,"DTE",41.47
2008-01-24,"DTE",41.9
2008-01-23,"DTE",43.71
2008-01-22,"DTE",41.58
2008-01-18,"DTE",42.7
2008-01-17,"DTE",43.1
2008-01-16,"DTE",44.37
2008-01-15,"DTE",44.26
2008-01-14,"DTE",45.23
2008-01-11,"DTE",44.3
2008-01-10,"DTE",44.51
2008-01-09,"DTE",44.21
2008-01-08,"DTE",43.45
2008-01-07,"DTE",43.56
2008-01-04,"DTE",43
2008-01-03,"DTE",43.38
2008-01-02,"DTE",44.05
2007-12-31,"DTE",43.96
2007-12-28,"DTE",44.67
2007-12-27,"DTE",44.35
2007-12-26,"DTE",45.09
2007-12-24,"DTE",45.4
2007-12-21,"DTE",45.18
2007-12-20,"DTE",45.52
2007-12-19,"DTE",45.85
2007-12-18,"DTE",45.88
2007-12-17,"DTE",45.95
2007-12-14,"DTE",46.79
2007-12-13,"DTE",48.56
2007-12-12,"DTE",48.72
2007-12-11,"DTE",49.52
2007-12-10,"DTE",50.62
2007-12-07,"DTE",50.5
2007-12-06,"DTE",51
